gene	gene_id	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	rest_coef_beta	rest_se_beta	rest_signed_log10p	stim8hr_coef_beta	stim8hr_se_beta	stim8hr_signed_log10p	stim48hr_coef_beta	stim48hr_se_beta	stim48hr_signed_log10p	polarization_score
A1BG	ENSG00000121410	1.2292e+00	-2.9516e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A1CF	ENSG00000148584	8.8662e-01	1.0479e+00	0	0.030836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2M	ENSG00000175899	8.0586e-01	2.9519e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.60713260111076
A2ML1	ENSG00000166535	1.0088e+00	9.9517e-01	0	0.051479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A3GALT2	ENSG00000184389	1.3185e+00	-2.1000e+00	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4GALT	ENSG00000128274	NA	-5.0238e-01	0	0.414555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4GNT	ENSG00000118017	1.4218e+00	8.3536e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	ENSG00000094914	9.8362e-01	4.7080e-01	0	0.0	0.0100353267000892	0.0095526546945207	0.532393283287462	-0.0062197736758296	0.0095015793313168	-0.2901058884415654	-0.0057866777468179	0.0095595429768948	-0.2636254475403022	NA
AACS	ENSG00000081760	1.0149e+00	2.3219e-01	0	0.395238	-0.0181123523054876	0.0095472864727863	-1.2377822557562044	-0.0186783443224617	0.0094945675506471	-1.3082320281580624	-0.0176295542779547	0.0095564171098196	-1.1864470566109608	-1.4387245041774557
AADAC	ENSG00000114771	1.1209e+00	1.7418e-01	0	0.522032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL2	ENSG00000197953	1.4603e+00	2.1126e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL3	ENSG00000188984	1.5179e+00	-3.7708e-01	0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AADACL4	ENSG00000204518	1.1158e+00	-2.8041e-01	0	0.076671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
