gene,gwas_score
IL12B,0.978083
SH2B3,0.974758
CTLA4,0.971186
IL7R,0.966134
CD40,0.961761
FLG,0.952990
TYK2,0.949974
NFKB1,0.945454
TRAF3IP2,0.943430
IL23R,0.941376
FTO,0.941019
IL6R,0.939475
TLR1,0.928550
IL10,0.926833
SUOX,0.926317
ITGA4,0.925959
IL33,0.923591
BACH2,0.920842
PTPN22,0.918162
JAK2,0.917760
IL12A,0.917184
CD6,0.917082
TNFRSF1A,0.916408
FLT3,0.915317
TNFRSF13B,0.913539
NOD2,0.913000
GPR35,0.910970
IRF4,0.908896
FCRL3,0.907417
UBASH3A,0.902602
TG,0.899597
TNFAIP3,0.898337
SMAD3,0.896627
NCF2,0.896317
CYP24A1,0.895000
IL1RL1,0.894786
TESPA1,0.893152
FCGR2A,0.889972
C1QTNF6,0.889927
CD226,0.889447
IL13,0.889176
CCR1,0.888124
CTSH,0.887389
MST1,0.886428
NFKBIA,0.884652
IFNGR2,0.884264
GATA3,0.883873
WDFY4,0.882689
LACC1,0.881881
TNFSF4,0.881782
FAM8A1,0.881762
ERAP1,0.880135
INS,0.879290
EOMES,0.876552
CTRB2,0.876391
ZNF217,0.875908
IFIH1,0.873229
BANK1,0.872906
ABO,0.872104
CXCR2,0.871767
CD58,0.869467
INAVA,0.869168
JAZF1,0.869109
FOSL2,0.867239
PADI4,0.866045
JAK1,0.864422
FUT2,0.860218
PRKCQ,0.859869
ADCY7,0.859311
TNFSF15,0.858904
LBH,0.857547
IRF5,0.856625
IL2RA,0.856056
CTRB1,0.854640
SIRPG,0.854429
NFKBIE,0.854349
IL4R,0.854000
TLR3,0.853735
NFATC1,0.852873
PLCL2,0.852561
RNASET2,0.852096
DNASE1L3,0.850725
LTBR,0.850701
RUNX3,0.850244
D2HGDH,0.849867
PRKCB,0.849435
TCF7L2,0.847738
SPRED2,0.847074
TAGAP,0.846706
CCL21,0.846456
SLC39A8,0.846161
DLD,0.845424
CDKN2A,0.845088
ZBTB38,0.845035
TNIP1,0.845017
NFATC2,0.845010
ACOXL,0.844390
IFNLR1,0.844054
CD83,0.843766
DOK2,0.843293
RIGI,0.842653
TSLP,0.842470
CCR3,0.840347
RASGRP1,0.839616
TRAF3,0.839267
SP140,0.839177
DENND1B,0.838890
RUNX1,0.838066
ATG16L1,0.837803
ARID5B,0.837715
CD2,0.837357
BAK1,0.837134
KLF2,0.837121
IL22,0.836870
LPP,0.835886
ZC3H12C,0.835808
PTPN11,0.833080
STAT4,0.831152
CLNK,0.830913
APOBR,0.829985
DNMT3A,0.829925
TNFSF11,0.829189
TPO,0.827857
ETS1,0.824577
BLK,0.824246
ACTA2,0.823945
PTPN2,0.823661
IL18R1,0.823633
IRF1,0.823494
TYR,0.822285
RTKN2,0.822171
ELMO1,0.821408
MAP3K8,0.821365
CIITA,0.820076
CD86,0.819356
CCL20,0.819100
NKX2-3,0.818049
BCL2L11,0.817763
TLR4,0.815933
CDKAL1,0.815061
TBX21,0.815022
ZNF831,0.814936
IKBKE,0.814788
PRDM1,0.814464
GPR65,0.813949
KLF13,0.813543
PTPRC,0.813455
NLRP10,0.812715
TET2,0.812705
MACIR,0.812227
INPP5D,0.811947
MAF,0.810807
PARK7,0.810581
IRF8,0.810522
EYA2,0.809449
ZFP36L1,0.808370
OTULINL,0.807230
PLCG2,0.806546
FOXP1,0.804917
TRIB1,0.804658
TSHR,0.804284
SLC15A4,0.803313
TNRC18,0.803010
CARD9,0.801758
B3GNT2,0.800263
CHRNA9,0.800236
RGS1,0.799612
VAV3,0.799110
IL12RB2,0.798945
NCF4,0.798903
NXPE1,0.798285
SATB1,0.798030
CD207,0.797966
KLF5,0.797116
CREB5,0.796633
ADO,0.796414
MGAT5,0.796272
CCN4,0.795793
PRR5L,0.795221
CARMIL1,0.794964
NRG1,0.794208
SERPINB7,0.793768
NR5A2,0.792980
PLAU,0.792813
GSAP,0.791847
TNFRSF14,0.790288
TNFRSF11A,0.790216
TRAF1,0.790074
ITGB8,0.789345
AIRE,0.787370
BCL2,0.785811
GLIS3,0.785630
PDGFB,0.785490
MUC19,0.784270
SLC12A8,0.783617
AFF3,0.783313
BHLHE40,0.783195
NCOR2,0.782520
SYNGR1,0.782319
ADGRL2,0.781986
CD247,0.781677
CCRL2,0.781597
GALC,0.781353
PHGDH,0.780720
WDR36,0.778611
BLTP1,0.778495
FOXO1,0.777320
ERG,0.776459
KLF12,0.776047
IL27,0.774685
MEIS2,0.774374
TNFSF14,0.774173
NFKBIZ,0.774089
MYC,0.772828
SLC7A10,0.770555
CELF2,0.770464
EVI5,0.768442
OSMR,0.768380
IL18RAP,0.767209
ZNF385D,0.767044
NOS2,0.766585
KLHL1,0.766305
ATXN1,0.766094
STAT3,0.765539
LEF1,0.764800
ETV7,0.764010
OTUD3,0.763775
AHI1,0.763420
CD5,0.761136
USP8,0.760989
POLI,0.759917
PLCL1,0.759913
TLL1,0.759448
PLXNC1,0.759259
RNF186,0.758573
GRAMD1B,0.758201
TSPAN14,0.757709
CDKN2B,0.756964
CCDC88B,0.756706
LITAF,0.755098
PUS10,0.755080
FCER1G,0.754562
ADCY3,0.754074
TNFSF18,0.753367
DGKQ,0.753159
NDFIP1,0.752488
IKZF2,0.752382
CARD11,0.752298
ANKRD55,0.749894
SOCS1,0.749782
ULK4,0.749572
PDE8B,0.749302
PCLO,0.749074
ZNF652,0.748473
CEP43,0.748202
CSF3R,0.748006
IQGAP1,0.747951
MMEL1,0.747393
IL21R,0.747026
CBLB,0.746671
GTF2I,0.746486
TMCO4,0.746336
