Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
BTK,INHIBITOR,Tyrosine-protein kinase BTK inhibitor; Tyrosine-protein kinase JAK3 inhibitor; TEC family kinase inhibitor,ACALABRUTINIB; ACALABRUTINIB MALEATE; IBRUTINIB; ORELABRUTINIB; PIRTOBRUTINIB; RILZABRUTINIB; RITLECITINIB; TIRABRUTINIB; ZANUBRUTINIB,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; B-cell prolymphocytic leukemia; Burkitt lymphoma; Crohn disease; Graves disease; Graves ophthalmopathy; MALT lymphoma; Sjogren syndrome; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acute myeloid leukemia; antiphospholipid syndrome; atopic eczema; autoimmune disease; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; chronic graft versus host disease; cold agglutinin disease; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; follicular lymphoma; food allergy; graft versus host disease; hemophagocytic syndrome; high grade B-cell lymphoma; idiopathic multicentric Castleman disease; immunoglobulin G4-related sclerosing disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; multiple sclerosis; myelofibrosis; neoplasm of mature B-cells; nodal marginal zone B-cell lymphoma; pemphigus; pemphigus foliaceus; pemphigus vulgaris; plasma cell myeloma; primary central nervous system lymphoma; rheumatoid arthritis; splenic marginal zone lymphoma; systemic lupus erythematosus; systemic mastocytosis; type 1 diabetes mellitus; ulcerative colitis; vitiligo,9,49,immune system disorder,APPROVAL,1
JAK2,INHIBITOR,Activin receptor type-1 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Activin receptor type-1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Interleukin-1 receptor-associated kinase 1 inhibitor; Activin receptor type-1 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Interleukin-1 receptor-associated kinase 1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Janus Kinase (JAK) inhibitor; Nerve growth factor receptor Trk-A inhibitor; Neurotrophic tyrosine kinase receptor type 2 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; NT-3 growth factor receptor inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor,BARICITINIB; DELGOCITINIB; FEDRATINIB; FEDRATINIB HYDROCHLORIDE; FILGOTINIB; FILGOTINIB MALEATE; LESTAURTINIB; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; PACRITINIB; PACRITINIB CITRATE; RUXOLITINIB; RUXOLITINIB PHOSPHATE; TOFACITINIB; TOFACITINIB CITRATE; UPADACITINIB; UPADACITINIB HEMIHYDRATE,"Aicardi-Goutieres syndrome; Autosomal dominant hyper-IgE syndrome; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Sjogren syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell large granular lymphocyte leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; adult T-cell leukemia/lymphoma; ankylosing spondylitis; atopic eczema; atypical chronic myeloid leukemia, BCR-ABL1 negative; autoimmune disease; autoimmune polyendocrine syndrome type 1; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic granulomatous disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; chronic neutrophilic leukemia; cutaneous lupus erythematosus; diffuse large B-cell lymphoma; discoid lupus erythematosus; essential thrombocythemia; follicular lymphoma; graft versus host disease; granulomatosis with polyangiitis; hand eczema; hemophagocytic syndrome; hypereosinophilic syndrome; immunoglobulin G4-related sclerosing disease; inflammatory bowel disease; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; lymphoproliferative syndrome; macrophage activation syndrome; mantle cell lymphoma; marginal zone lymphoma; myasthenia gravis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloproliferative neoplasm; palmoplantar pustulosis; plasma cell myeloma; polycythemia; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; proteosome-associated autoinflammatory syndrome; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; rheumatoid arthritis; spondyloarthropathy; systemic lupus erythematosus; systemic sclerosis; type 1 diabetes mellitus; type IV hypersensitivity disease; ulcerative colitis; vitiligo",17,71,immune system disorder,APPROVAL,1
JAK3,INHIBITOR,Janus Kinase (JAK) inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase JAK2 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; Tyrosine-protein kinase TYK2 inhibitor; Tyrosine-protein kinase JAK1 inhibitor; Tyrosine-protein kinase JAK3 inhibitor; TEC family kinase inhibitor,DELGOCITINIB; FILGOTINIB; FILGOTINIB MALEATE; RITLECITINIB; RUXOLITINIB; TOFACITINIB; TOFACITINIB CITRATE; UPADACITINIB; UPADACITINIB HEMIHYDRATE,"Aicardi-Goutieres syndrome; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Crohn disease; Sjogren syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell large granular lymphocyte leukemia; T-cell prolymphocytic leukemia; acquired polycythemia vera; acute graft versus host disease; acute myeloid leukemia; adult T-cell leukemia/lymphoma; ankylosing spondylitis; atopic eczema; atypical chronic myeloid leukemia, BCR-ABL1 negative; autoimmune disease; autoimmune polyendocrine syndrome type 1; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic granulomatous disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cutaneous lupus erythematosus; diffuse large B-cell lymphoma; discoid lupus erythematosus; essential thrombocythemia; graft versus host disease; granulomatosis with polyangiitis; hand eczema; hemophagocytic syndrome; hypereosinophilic syndrome; immunoglobulin G4-related sclerosing disease; inflammatory bowel disease; juvenile myelomonocytic leukemia; macrophage activation syndrome; myasthenia gravis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloproliferative neoplasm; palmoplantar pustulosis; plasma cell myeloma; polycythemia; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; psoriasis; psoriasis vulgaris; psoriasis-related juvenile idiopathic arthritis; psoriatic arthritis; rheumatoid arthritis; spondyloarthropathy; systemic lupus erythematosus; systemic sclerosis; type 1 diabetes mellitus; ulcerative colitis; vitiligo",9,59,immune system disorder,APPROVAL,1
KIT,INHIBITOR,Bcr/Abl fusion protein inhibitor; Ephrin type-A receptor 2 inhibitor; Platelet-derived growth factor receptor beta inhibitor; SRC inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ABL inhibitor; Bcr/Abl fusion protein inhibitor; Stem cell growth factor receptor inhibitor; Platelet-derived growth factor receptor beta inhibitor; Tyrosine-protein kinase ABL inhibitor; Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Fibroblast growth factor receptor 1 inhibitor; Fibroblast growth factor receptor 3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase ITK/TSK inhibitor; Tyrosine-protein kinase LCK inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Macrophage colony stimulating factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor 1 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Platelet-derived growth factor receptor beta inhibitor; Platelet-derived growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor 3 inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Stem cell growth factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Fibroblast growth factor receptor 3 inhibitor; Serine/threonine-protein kinase RAF inhibitor; Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Platelet-derived growth factor receptor alpha inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Vascular endothelial growth factor receptor 2 inhibitor; Platelet-derived growth factor receptor inhibitor; Protein kinase C (PKC) inhibitor; Stem cell growth factor receptor inhibitor; Vascular endothelial growth factor receptor inhibitor; Macrophage colony stimulating factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; Platelet-derived growth factor receptor inhibitor; Stem cell growth factor receptor inhibitor,AVAPRITINIB; CEDIRANIB; DASATINIB ANHYDROUS; IMATINIB; IMATINIB MESYLATE; MASITINIB; MIDOSTAURIN; PAZOPANIB; PEXIDARTINIB; QUIZARTINIB; REGORAFENIB; RIPRETINIB; SORAFENIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; aggressive systemic mastocytosis; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; core binding factor acute myeloid leukemia; cutaneous mastocytosis; diffuse large B-cell lymphoma; graft versus host disease; hypereosinophilic syndrome; idiopathic hypereosinophilic syndrome; juvenile myelomonocytic leukemia; lymphedema; mantle cell lymphoma; mast cell leukemia; mast cell sarcoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; palmoplantar pustulosis; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary myelofibrosis; psoriasis; psoriasis vulgaris; rheumatoid arthritis; scleroderma; seasonal allergic rhinitis; systemic mastocytosis; systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease; systemic sclerosis; thymic carcinoma; thymoma; type 1 diabetes mellitus",16,52,immune system disorder,APPROVAL,1
BRAF,INHIBITOR,Discoidin domain-containing receptor 2 inhibitor; Ephrin type-A receptor 2 inhibitor; Fibroblast growth factor receptor 2 inhibitor; MAP kinase p38 beta inhibitor; Platelet-derived growth factor receptor inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase TIE-2 inhibitor; Fibroblast growth factor receptor 1 inhibitor; Nerve growth factor receptor Trk-A inhibitor; Serine/threonine-protein kinase RAF inhibitor; Tyrosine-protein kinase ABL inhibitor; Tyrosine-protein kinase FRK inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor; RAF serine/threonine protein kinase inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Serine/threonine-protein kinase RAF inhibitor; Platelet-derived growth factor receptor beta inhibitor; Serine/threonine-protein kinase B-raf inhibitor; Stem cell growth factor receptor inhibitor; Tyrosine-protein kinase receptor FLT3 inhibitor; Tyrosine-protein kinase receptor RET inhibitor; Vascular endothelial growth factor receptor inhibitor,DABRAFENIB; DABRAFENIB MESYLATE; ENCORAFENIB; REGORAFENIB; SORAFENIB; SORAFENIB TOSYLATE; TOVORAFENIB; VEMURAFENIB,"B-cell chronic lymphocytic leukemia; Erdheim-Chester disease; Langerhans cell histiocytosis; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute promyelocytic leukemia; chronic myelogenous leukemia, BCR-ABL1 positive; hairy cell leukemia; mixed phenotype acute leukemia; myeloid leukemia; myeloproliferative neoplasm; plasma cell myeloma; thymic carcinoma; thymoma; type 1 diabetes mellitus",8,16,immune system disorder,APPROVAL,1
DNMT3A,INHIBITOR,DNA (cytosine-5)-methyltransferase 1 inhibitor; DNA (cytosine-5)-methyltransferase 3A inhibitor,AZACITIDINE; DECITABINE,"B-cell acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; T-cell acute lymphoblastic leukemia; T-cell large granular lymphocyte leukemia; T-cell leukemia; T-cell prolymphocytic leukemia; acute graft versus host disease; acute graft vs. host disease; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; adult T-cell leukemia/lymphoma; atypical chronic myeloid leukemia, BCR-ABL1 negative; autoimmune thrombocytopenic purpura; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; chronic neutrophilic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; follicular lymphoma; graft versus host disease; hemophagocytic syndrome; indolent B-cell non-Hodgkin lymphoma; juvenile myelomonocytic leukemia; mixed phenotype acute leukemia; myelodysplastic/myeloproliferative neoplasm; myelofibrosis; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; neoplasm of mature B-cells; plasma cell myeloma; plasmacytoma; primary central nervous system lymphoma; systemic mastocytosis; therapy related acute myeloid leukemia and myelodysplastic syndrome",2,38,immune system disorder,APPROVAL,1
ADA,EXOGENOUS GENE,ADA exogenous gene,AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADA CDNA SEQUENCE,severe combined immunodeficiency,1,1,immune system disorder,APPROVAL,1
ADA,INHIBITOR,Adenosine deaminase inhibitor,PENTOSTATIN,"B-cell chronic lymphocytic leukemia; MALT lymphoma; acute graft versus host disease; adult T-cell leukemia/lymphoma; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; follicular lymphoma; graft versus host disease; hairy cell leukemia; inborn error of immunity; indolent B-cell non-Hodgkin lymphoma; mantle cell lymphoma; neoplasm of mature B-cells; plasma cell myeloma",1,14,immune system disorder,APPROVAL,1
CSF3R,AGONIST,Granulocyte colony stimulating factor receptor agonist,EFBEMALENOGRASTIM ALFA; EFLAPEGRASTIM; FILGRASTIM; LENOGRASTIM; LIPEGFILGRASTIM; PEGFILGRASTIM; REGRAMOSTIM,"AIDS; B-cell acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Crohn disease; Fanconi anemia; Sjogren syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; ankylosing spondylitis; antiphospholipid syndrome; autoimmune enteropathy; autoimmune hemolytic anemia; autoimmune pulmonary alveolar proteinosis; autoimmune thrombocytopenic purpura; blast phase chronic myelogenous leukemia, BCR-ABL1 positive; bone marrow failure syndrome; chronic granulomatous disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; familial hemophagocytic lymphohistiocytosis type 1; follicular lymphoma; graft versus host disease; hemophagocytic syndrome; immunodeficiency disease; juvenile myelomonocytic leukemia; mantle cell lymphoma; marginal zone lymphoma; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; myeloproliferative neoplasm; neutropenia; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; reticulum cell sarcoma; rheumatoid arthritis; scleroderma; severe combined immunodeficiency; systemic lupus erythematosus; systemic sclerosis; therapy related acute myeloid leukemia and myelodysplastic syndrome; thymic epithelial neoplasm; type 1 diabetes mellitus; ulcerative colitis",7,54,immune system disorder,APPROVAL,1
ELANE,INHIBITOR,Leukocyte elastase inhibitor,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,acute graft versus host disease; graft versus host disease; type 1 diabetes mellitus,1,3,immune system disorder,APPROVAL,1
