gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
VAV1,0.7769622802734375,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,2158,Stim48hr
ZAP70,0.7562594413757324,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1593,Stim48hr
PLCG1,0.7535853385925293,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,1326,Stim48hr
LAT,0.751605212688446,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,1911,Stim48hr
TMX1,0.7175703048706055,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,1070,Stim48hr
BCL10,0.6842515468597412,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,1655,Stim48hr
GRSF1,0.68353271484375,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,913,Stim48hr
MTG1,0.6824256181716919,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,1035,Stim48hr
CD28,0.6804859042167664,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,926,Stim48hr
CARMIL2,0.6799432039260864,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,1017,Stim48hr
CD3G,0.6775830984115601,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,True,886,Stim48hr
CD3E,0.6775830984115601,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,True,1021,Stim48hr
PTPRC,0.6767808794975281,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,1882,Stim48hr
MALT1,0.6539227366447449,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,764,Stim48hr
ITK,0.6531534194946289,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,True,1412,Stim48hr
GTPBP10,0.6511008739471436,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,553,Stim48hr
NDUFAF3,0.6504268646240234,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,True,995,Stim48hr
NDUFA8,0.6504268646240234,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,602,Stim48hr
MIPEP,0.6416715383529663,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,1172,Stim48hr
RPUSD3,0.6385691165924072,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,656,Stim48hr
RCC1L,0.6243681907653809,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,635,Stim48hr
NPC2,0.623896062374115,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,1404,Stim48hr
TFAM,0.6229690313339233,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,1711,Stim48hr
ANKRD61,0.6211462020874023,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,594,Stim48hr
CD247,0.6185084581375122,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,569,Stim48hr
POLG,0.6087628602981567,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,877,Stim48hr
CALCOCO2,0.6068853139877319,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,392,Stim48hr
ISCA2,0.6027844548225403,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,826,Stim48hr
NUBPL,0.6023585200309753,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,298,Stim48hr
ACAD9,0.6019386053085327,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,386,Stim48hr
CLCC1,0.5925908088684082,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,902,Stim48hr
LCK,0.5886335372924805,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,True,596,Stim48hr
LIG3,0.5862928032875061,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,626,Stim48hr
RTN4IP1,0.5844483375549316,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,452,Stim48hr
TFB1M,0.5807582139968872,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,494,Stim48hr
PTCD2,0.5752183794975281,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,436,Stim48hr
TMEM140,0.5742728114128113,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,230,Stim48hr
MCAT,0.5728365182876587,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,446,Stim48hr
NDUFS8,0.5727114081382751,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,True,549,Stim48hr
NDUFA6,0.5683835744857788,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,219,Stim48hr
MTIF2,0.5666473507881165,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,253,Stim48hr
NSUN4,0.5641902685165405,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,578,Stim48hr
ATP5PO,0.5638486742973328,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,622,Stim48hr
LRP5,0.5637363195419312,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,273,Stim48hr
TRUB2,0.5635619759559631,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,206,Stim48hr
DNAJC8,0.5631638765335083,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,976,Stim48hr
NDUFA9,0.557200014591217,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,340,Stim48hr
NDUFB6,0.5558815002441406,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,181,Stim48hr
TWNK,0.5543416142463684,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,456,Stim48hr
LRPPRC,0.5532498359680176,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,1093,Stim48hr
ATP5MF,0.553187906742096,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,421,Stim48hr
IBA57,0.5526733994483948,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,572,Stim48hr
CARS2,0.547956645488739,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,605,Stim48hr
ZNF649,0.5473583340644836,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,623,Stim48hr
FAM118B,0.5472787618637085,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,263,Stim48hr
OXA1L,0.5459029674530029,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,874,Stim48hr
NDUFS5,0.5446250438690186,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,255,Stim48hr
SIK3,0.5422360301017761,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,971,Stim48hr
CYB5RL,0.5410197973251343,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,307,Stim48hr
RNASEH1,0.5407257676124573,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,414,Stim48hr
CD2,0.5375123620033264,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,True,576,Stim48hr
