gene,kNN_max_score,nearest_approved_target,is_approved_target,n_downstream_z3,culture_condition
PLCG1,0.9336004853248596,CD3E,False,3482,Stim8hr
LAT,0.9333547353744507,CD3E,False,3976,Stim8hr
LCP2,0.933204710483551,CD3D,False,3538,Stim8hr
CD3E,0.9329668879508972,CD3D,True,4093,Stim8hr
CD3D,0.9329668879508972,CD3E,True,3438,Stim8hr
CD3G,0.923812747001648,CD3E,True,3463,Stim8hr
ZAP70,0.9201986789703369,CD3E,False,3551,Stim8hr
CD247,0.9164410829544067,CD3E,False,2887,Stim8hr
VAV1,0.9033086895942688,CD3E,False,3287,Stim8hr
BCAT2,0.8942094445228577,CD3E,False,2376,Stim8hr
LRBA,0.883534848690033,CD3D,False,1893,Stim8hr
SLC3A2,0.867757260799408,CD3G,False,1502,Stim8hr
FITM2,0.8555945158004761,CD3G,False,1630,Stim8hr
CALCOCO2,0.8492311835289001,CD3E,False,1439,Stim8hr
LCK,0.808454155921936,CD3D,True,1515,Stim8hr
ITK,0.8082569241523743,CD3E,True,2031,Stim8hr
PGGT1B,0.7978744506835938,CD3E,False,1855,Stim8hr
ARNT,0.7974157929420471,AHR,False,1443,Stim8hr
FZD6,0.7894774079322815,CD3G,False,910,Stim8hr
TMX1,0.7692693471908569,CD3G,False,1360,Stim8hr
PTPRC,0.7613784074783325,CD3E,False,1287,Stim8hr
MTA3,0.75270676612854,CD3E,False,707,Stim8hr
UBE2E2,0.7466073036193848,CD3E,False,953,Stim8hr
CARMIL2,0.7346684336662292,CD3E,False,1355,Stim8hr
APPL2,0.7168781161308289,CD3D,False,395,Stim8hr
ARHGAP27,0.7162620425224304,CD3G,False,628,Stim8hr
NDFIP2,0.6744981408119202,CD3G,False,533,Stim8hr
HACD4,0.6657058000564575,CD3E,False,429,Stim8hr
XRRA1,0.6646379828453064,CD3E,False,1245,Stim8hr
MALT1,0.6542553901672363,CD3E,False,879,Stim8hr
BCL10,0.6458469033241272,CD3E,False,2057,Stim8hr
ZNF790,0.6308071613311768,CD3E,False,270,Stim8hr
