gene,polarization_score
NAB2,-70.51320232559594
HPS1,-70.27512118119873
GORASP2,-67.46293247692084
FBXO32,-64.88563921318995
AKR1C3,-63.1337652800404
RARA,-62.260975499832604
SAAL1,-61.38088743970371
BPNT1,-59.86777353201102
RSBN1L,59.8043794218248
ZNF202,59.52128309187807
SLC39A1,-59.37167796898908
SDHD,-59.16654213860591
IL4R,-56.67940518054313
CKLF-CMTM1,56.32166334514415
C2CD5,-56.29566185756749
COMMD1,-55.97308025636943
TET2,55.333158090213935
CDKAL1,-55.253211538901226
DCAF6,-54.38006532793886
EIF2AK4,-54.28657428485692
GARIN1A,-54.1148983618413
STAT6,-53.54171889719518
NLRC5,52.41472283245767
IFITM2,52.203703798511256
FRS3,52.15389823096582
PIGP,-51.99687889907068
IRGQ,-51.88749232864707
ADAM9,-51.624360896117736
ZNF616,-50.79684963655669
RNF181,50.56755974593607
LAT2,-49.786522311465085
JAK2,49.5976769539224
GCSAM,49.216954863263716
NUBPL,48.986647969043545
IRF1,48.60380869035125
NFAT5,48.32705971997637
NCKAP1L,47.800490431695444
IFNGR1,47.25210897984758
MAMLD1,-46.99003155715422
ANKRD54,46.94327719638829
IL12RB1,46.81920498862183
SRM,-46.78739567589312
ZNF649,-46.73193419514257
SPEN,-46.50790698376609
SNX4,-46.38998899703431
ENKUR,46.26482172347829
LCK,46.06705128676682
EPS15L1,-46.020811920759925
SMIM1,-45.98782865944909
OXA1L,45.692454531839914
IL7R,45.494071644671074
APPBP2,-45.04959667990732
ZNF570,44.75080955117135
KAT2B,-44.72179024836976
PBLD,44.20322342106962
CD247,44.02838499475992
BMI1,44.000845782589494
PRKDC,-43.968792180457264
SIRT7,-43.935911844336445
C11orf58,-43.89361359851956
FAM120A,-43.785264101461856
GLS,43.69841161396373
GPR82,43.4000719798338
FKRP,-43.32660333732349
ZAP70,43.2274838480572
ZNF710,43.21829221718917
MAN1A1,-43.084657059946565
FBXO11,42.840887935827666
SLC25A27,-42.74842728536705
NAA40,-42.65210819882589
TESK2,42.529530568992904
ATF7IP2,-42.37955249189518
NDST2,42.23763907570807
IFT172,-42.11847201549359
ZC3HC1,-42.04562221894976
RIMKLB,-41.63156221429974
ALG13,41.596685815917965
TAF5L,-41.58305992219132
ZNF781,41.372079786718416
MTHFD1L,41.33830295415468
ATP5MC3,-41.336795718639905
AUP1,-41.25446953230652
CENPX,-41.06370989644031
SYK,-41.06261607227119
PAQR7,41.021708450991575
AKIRIN1,40.88987326088962
IL21R,40.88457024412112
TNFRSF9,-40.871883102063585
ITK,40.65943536959805
SLC4A1AP,-40.60464628894137
HEATR5A,-40.572230785440425
TTC9,-40.2304294437219
MED24,40.032128750962976
PEAR1,40.01130875774343
FHIT,-39.89768513970263
MED23,39.78298253240214
LAMP1,-39.77038323142901
ZCWPW1,-39.74833588998608
PODXL2,-39.68032314390528
TASOR,-39.46339556428086
DMAC2L,39.36790056948193
WAS,39.22915825668087
IRF9,39.15149328681384
XPO4,-39.13313255488772
MYO18A,-39.0324090659828
CLCC1,-39.00943905626002
FITM2,38.99948586884746
VAV1,38.99698480529531
NAF1,38.8441770440572
ZC3H12A,38.67102451003685
ZNF410,-38.67031752542121
RPUSD3,38.34425379367378
CELF1,-38.16582070953713
LIN37,-38.16027278077265
SLC23A2,38.14330339651874
ZNF559,-38.055676144165766
MRPL18,-38.027754588643
COG6,38.0215442796348
IFNGR2,37.878740481726375
RANBP2,-37.77655028830424
POFUT1,-37.69354135625798
FADS1,37.584899270451984
MUTYH,-37.57777739387838
KIFAP3,-37.50728491864983
SEC14L5,37.425485425160176
IFI27L1,37.40964102631059
SLC25A37,37.40297029426357
HOXC5,-37.27192870347207
UBAP2L,37.24340739432509
SEMA6A,-37.01510005946178
CHD4,-36.98799102145793
IMPDH2,-36.91824615001371
SEC22A,36.8516536828772
PM20D2,36.81436253016288
