ensg,gene,n_reg,coef_beta,se_beta,p_beta,signed_log10p,fdr
ENSG00000115604,IL18R1,10840,0.046875011530492845,0.009548611659368062,9.283287838161695e-07,6.0322981835780025,0.009545076555197854
ENSG00000164483,SAMD3,10840,0.042997636309916064,0.009547690031915308,6.755471085375022e-06,5.170344360536061,0.03472987684991299
ENSG00000169896,ITGAM,10840,0.04078367149897518,0.009556332734277665,1.9916786194541042e-05,4.7007807387325995,0.052308163774424925
ENSG00000173198,CYSLTR1,10840,0.0405022026946383,0.00955049518290294,2.2452490558436237e-05,4.648735477565206,0.052308163774424925
ENSG00000197635,DPP4,10840,0.04025766797126332,0.009556241480436468,2.5436765111080003e-05,4.59453812037176,0.052308163774424925
ENSG00000118640,VAMP8,10840,0.038520423331222554,0.009550946476839788,5.541085050521141e-05,4.256405183771058,0.09495572748243063
ENSG00000166900,STX3,10840,0.03791358199863767,0.009551263838623265,7.249354191761576e-05,4.13970068080098,0.1064826568567036
ENSG00000074966,TXK,10840,0.03714031297123843,0.009549015043549818,0.00010107648107480318,3.9953498862257826,0.1299085473013908
ENSG00000125967,NECAB3,10840,0.036757186452731704,0.009548709919609386,0.00011906838133683366,3.924203550305814,0.13101811605879443
ENSG00000113648,MACROH2A1,10840,0.036256766102648094,0.00955052212297371,0.00014766508294326917,3.830722186325176,0.13101811605879443
ENSG00000136161,RCBTB2,10840,0.03617485299615821,0.009550774119175926,0.0001529096861219153,3.815565003168054,0.13101811605879443
ENSG00000134897,BIVM,10840,0.03497428479216496,0.009549814674967232,0.00025115138457483955,3.6000644232716823,0.19427571359528314
ENSG00000100365,NCF4,10840,0.034845503425390764,0.00954939715793313,0.0002645263557998409,3.5775310510079854,0.19427571359528314
ENSG00000123080,CDKN2C,10840,0.03389746192070367,0.00955139568922791,0.00038840198756478334,3.410718556348458,0.2297618036882333
ENSG00000182866,LCK,10840,0.033594576854906355,0.009550702964902954,0.00043741944502376863,3.35910191476245,0.2297618036882333
ENSG00000072858,SIDT1,10840,0.033507560098977485,0.009549818385566398,0.0004521089435278119,3.3447569017550007,0.2297618036882333
ENSG00000109861,CTSC,10840,0.033476324692080686,0.009550196470269145,0.000457932442775187,3.3391985872669565,0.2297618036882333
ENSG00000107099,DOCK8,10840,0.033342410464241086,0.009552172897422256,0.00048393107150099946,3.3152164924848613,0.2297618036882333
ENSG00000188559,RALGAPA2,10840,0.03326029069710577,0.009553130321868013,0.0005003696085347266,3.300709076369691,0.2297618036882333
ENSG00000151883,PARP8,10840,0.03318316039391145,0.00955070181224366,0.000513958518267785,3.289071931616379,0.2297618036882333
ENSG00000196776,CD47,10840,0.03291524732755361,0.009550373483393049,0.0005700785423587861,3.24406530544483,0.2442311488555433
ENSG00000186470,BTN3A2,10840,0.03258673054192665,0.0095502137509572,0.0006468899319631838,3.1891696080600975,0.2631656056826212
ENSG00000073969,NSF,10841,0.0323790433467621,0.009550095637915328,0.0007002911550974601,3.154721358896367,0.2631656056826212
ENSG00000163219,ARHGAP25,10840,0.03210093878857512,0.009550771879565524,0.0007790573623867721,3.1084305638282395,0.2631656056826212
ENSG00000133574,GIMAP4,10840,0.03189917830024474,0.009550848438086216,0.0008408197763383404,3.0752970821206236,0.2631656056826212
ENSG00000188042,ARL4C,10840,0.03186202508299754,0.00955297165435567,0.0008549362055092598,3.0680662906858163,0.2631656056826212
ENSG00000103490,PYCARD,10840,0.03182250937443054,0.009552423966133117,0.0008671347871936711,3.0619133906613984,0.2631656056826212
ENSG00000152270,PDE3B,10840,0.03162374925226246,0.009551777862603493,0.0009334333274528372,3.029916697054387,0.2631656056826212
ENSG00000182718,ANXA2,10840,0.03151083981644653,0.009551337142350505,0.0009730733003129178,3.0118544436757504,0.2631656056826212
ENSG00000131323,TRAF3,10840,0.0315189391457273,0.009554148284848631,0.000973499246142801,3.0116643804522685,0.2631656056826212
ENSG00000172936,MYD88,10840,0.031449708832805734,0.009547549225040862,0.0009908622507256368,3.003986716763853,0.2631656056826212
ENSG00000040933,INPP4A,10840,0.03139966596725681,0.009550705403112633,0.0010133812267718672,2.9942271454222027,0.2631656056826212
ENSG00000160185,UBASH3A,10840,0.031270129962245215,0.009551428674697318,0.0010641819020039223,2.9729841311721157,0.2631656056826212
ENSG00000088179,PTPN4,10840,0.03125162292922066,0.009550957160214542,0.0010708832210242296,2.9702578860588766,0.2631656056826212
ENSG00000129595,EPB41L4A,10841,0.031255540391414316,0.009552901583609939,0.0010718517666875314,2.9698652718829726,0.2631656056826212
ENSG00000104325,DECR1,10840,0.031234737015456336,0.009550558420627847,0.001077073161573296,2.9677547956914223,0.2631656056826212
ENSG00000101109,STK4,10840,0.031153159308359504,0.009550821034038391,0.0011103762144871968,2.954529849867965,0.2631656056826212
ENSG00000129675,ARHGEF6,10840,0.031152605958324243,0.009550996971738172,0.0011108381176566549,2.954349226145474,0.2631656056826212
ENSG00000008382,MPND,10840,0.031037076296682217,0.009551697852050046,0.0011601033244916918,2.9355033286539336,0.2631656056826212
ENSG00000138378,STAT4,10840,0.030976605820952092,0.009550640906429344,0.0011846745169039035,2.926400953391558,0.2631656056826212
ENSG00000163508,EOMES,10840,0.030937899912015804,0.009551574190454076,0.0012029550152774945,2.919750612877975,0.2631656056826212
ENSG00000196547,MAN2A2,10840,0.030837085550988862,0.009550696988649608,0.001246903610729776,2.9041671174485884,0.26630107854673946
ENSG00000004059,ARF5,10840,0.030788467183740887,0.009550581944157812,0.0012690870306156616,2.8965085941227082,0.26630107854673946
ENSG00000096968,JAK2,10840,0.030710575536670864,0.009551130027008362,0.001306509966449614,2.883887272995544,0.2676279219757195
ENSG00000176463,SLCO3A1,10840,0.030599715490219653,0.009551127568588924,0.0013602839258758804,2.8663704338565705,0.2676279219757195
ENSG00000166340,TPP1,10840,0.030537025298175997,0.009553478524313935,0.0013953884055670147,2.8553048899416438,0.2676279219757195
ENSG00000128284,APOL3,10840,0.030407396543908432,0.009550953674747306,0.0014581543067953603,2.836196515082677,0.2676279219757195
ENSG00000164308,ERAP2,10840,0.03040453614405526,0.009551227772812546,0.0014601223453265416,2.8356107526579835,0.2676279219757195
ENSG00000115904,SOS1,10840,0.03028009013181705,0.009554199217102712,0.0015323333642295039,2.814646742212749,0.2676279219757195
ENSG00000068024,HDAC4,10840,0.030279676103924475,0.00955664397743883,0.0015368384769203732,2.8133717748349274,0.2676279219757195
ENSG00000141576,RNF157,10840,0.030227701712102362,0.009551727219949353,0.001557086512955737,2.8076872570172986,0.2676279219757195
ENSG00000081320,STK17B,10840,0.030176318185080802,0.009551776958692608,0.0015861804801487126,2.799647398939429,0.2676279219757195
ENSG00000106799,TGFBR1,10841,0.03012912065161703,0.00955048353458689,0.0016109025802961978,2.792930722845265,0.2676279219757195
ENSG00000076770,MBNL3,10840,0.029918405810452377,0.009550933146531994,0.0017377944199254258,2.7600016016346425,0.2676279219757195
ENSG00000013364,MVP,10840,0.02992433434991443,0.009553866708320436,0.0017398141802711124,2.759497133781948,0.2676279219757195
ENSG00000157570,TSPAN18,10840,0.02978797111520223,0.009551675640131919,0.001821811812649897,2.739496486281092,0.2676279219757195
ENSG00000113504,SLC12A7,10840,0.02976986960665469,0.00955097608132681,0.0018321342912217705,2.737042696716695,0.2676279219757195
ENSG00000093072,ADA2,10840,0.029692658584197274,0.00955192806734191,0.0018849386108739834,2.724702789433161,0.26917970551397635
ENSG00000126860,EVI2A,10840,0.029643603708219373,0.009551797306820245,0.001917656036951043,2.71722928801537,0.2701005393415154
ENSG00000170571,EMB,10840,0.029471784948650402,0.009551078644741636,0.0020358388912101464,2.691256593440818,0.2759911234004848
ENSG00000172830,SSH3,10840,0.029460607589509816,0.009552324814781913,0.0020466223521528387,2.688962287042915,0.2759911234004848
ENSG00000153310,CYRIB,10840,0.02933149595250053,0.009553941034791612,0.0021452090704330144,2.6685303754090075,0.28278255977169553
ENSG00000213064,SFT2D2,10840,0.029289787143213772,0.00955278836428714,0.0021740606706781435,2.6627283403909052,0.28295812425205913
ENSG00000115607,IL18RAP,10840,0.029123132676485055,0.009551266730960975,0.0023005255691605315,2.6381729354121757,0.2956750487763573
ENSG00000137642,SORL1,10840,0.029040434948522403,0.009551282258130876,0.0023676928421062725,2.625674638786389,0.3005508370683542
ENSG00000174130,TLR6,10840,0.02885572041041627,0.009559274398344746,0.00254527799385185,2.594264777334089,0.3081350865309713
ENSG00000065882,TBC1D1,10840,0.028677537732466004,0.009553885359201215,0.002691215396659283,2.5700515412414866,0.3087421266023952
ENSG00000143119,CD53,10840,0.02867408257415364,0.009553182960324662,0.002692460816532727,2.5698506082852988,0.3087421266023952
ENSG00000106948,AKNA,10840,0.028652568815105764,0.009551891201310463,0.0027088207224841027,2.5672197368687515,0.3087421266023952
ENSG00000198133,TMEM229B,10840,0.028556478213282544,0.009551932097015336,0.002799679717196496,2.5528916490185822,0.3087421266023952
ENSG00000137965,IFI44,10840,0.028462186664577276,0.009551323914072953,0.002889627630357924,2.539158118662197,0.3087421266023952
ENSG00000196405,EVL,10840,0.02844866037248328,0.009551603359785122,0.0029038283683545164,2.537029056318819,0.3087421266023952
ENSG00000127838,PNKD,10841,0.02839397306096884,0.009550898075663275,0.002956384270265667,2.5292391170940136,0.3087421266023952
ENSG00000180370,PAK2,10840,0.0283915752666778,0.00955459263944413,0.002969891195784741,2.527259461098902,0.3087421266023952
ENSG00000166908,PIP4K2C,10840,0.02838098233538889,0.009551967173377295,0.002972716449488147,2.5268465136996956,0.3087421266023952
ENSG00000139679,LPAR6,10840,0.028342893365190223,0.009551524726533417,0.003010169175221653,2.5214090958345303,0.30950559459629035
ENSG00000162736,NCSTN,10841,0.02823965135886923,0.00955153224299255,0.0031176509467478173,2.5061725101821795,0.317383039945159
ENSG00000179144,GIMAP7,10841,0.02812167187766734,0.009551421990205233,0.003244368937055405,2.4888697653681655,0.32666818919614105
ENSG00000101224,CDC25B,10840,0.028045067945157653,0.009551446192013159,0.003329459479271983,2.477626266260449,0.32666818919614105
ENSG00000076662,ICAM3,10840,0.028027928764005835,0.00955223912976513,0.0033513826601600243,2.474775981681896,0.32666818919614105
ENSG00000033178,UBA6,10840,0.027963796477953703,0.009552400537960259,0.003425082627068596,2.465328947077511,0.3274489445774066
ENSG00000153113,CAST,10840,0.027871378938848265,0.009552466060720887,0.0035333021902371853,2.451819217379726,0.330634122288287
ENSG00000113441,LNPEP,10840,0.02781042621938122,0.00955220427350365,0.003605297181183936,2.443058930992029,0.3309791572940467
ENSG00000166839,ANKDD1A,10840,0.027739611691157427,0.009552146483658876,0.0036915021434093796,2.4327968750755686,0.33441226325049556
ENSG00000145675,PIK3R1,10840,0.02772422965905726,0.009551374145922078,0.00370774149100919,2.430890553098716,0.33441226325049556
ENSG00000198759,EGFL6,10840,0.0275726262745513,0.009553387928697437,0.0039074136219219395,2.4081106138045647,0.3481097590107993
ENSG00000125249,RAP2A,10840,0.02755414814874857,0.009555159382409383,0.003938152522797545,2.4047074678508706,0.3481097590107993
ENSG00000180644,PRF1,10840,0.027471657593698316,0.00955133374682823,0.004032646478495067,2.3944098487011174,0.3481097590107993
ENSG00000166439,RNF169,10840,0.027427913395351475,0.009551922784163955,0.004093794403557672,2.3878739720405107,0.3481097590107993
ENSG00000135686,KLHL36,10840,0.027399942206564238,0.009556146412678664,0.00414843058103587,2.382116172904285,0.3481097590107993
ENSG00000181381,DDX60L,10840,0.027203341688182465,0.009554316230910112,0.004418431086514304,2.354731914231661,0.3481097590107993
ENSG00000168899,VAMP5,10841,0.02719880018135854,0.009562714483055599,0.004459874485583416,2.350677363481929,0.3481097590107993
ENSG00000152128,TMEM163,10841,0.027165926755026937,0.009553330591050945,0.004468936177389694,2.349795847623239,0.3481097590107993
ENSG00000163935,SFMBT1,10840,0.027141081657219412,0.009551902553975046,0.004499523900308774,2.3468334369818784,0.3481097590107993
ENSG00000164120,HPGD,10840,0.02713094110726878,0.009552032360943137,0.0045150617792258235,2.345336302893485,0.3481097590107993
ENSG00000124019,FAM124B,10840,0.027098145555451283,0.009552539556063803,0.004566014137372301,2.340462748173582,0.3481097590107993
ENSG00000102349,KLF8,10840,0.02705878957101281,0.009552010883836164,0.004622963306978936,2.335079553596271,0.3481097590107993
ENSG00000138642,HERC6,10840,0.027068416739842248,0.009556875539432455,0.004629247210917861,2.334489626417284,0.3481097590107993
ENSG00000198252,STYX,10840,0.02700593037452317,0.009551727444096757,0.00470232721258965,2.3276871536717945,0.3481097590107993
ENSG00000100351,GRAP2,10840,0.026916020564762437,0.009553848642059064,0.004851748537596517,2.3141017163718893,0.3481097590107993
ENSG00000006555,TTC22,10840,0.026890315163195084,0.009553749883963401,0.004892077955031714,2.3105066311185065,0.3481097590107993
ENSG00000154760,SLFN13,10841,0.02685937593378018,0.009551401209634061,0.004930957351030342,2.3070687537641943,0.3481097590107993
ENSG00000117226,GBP3,10840,0.026829063749451713,0.00955192800094707,0.004982186860985645,2.302579987924948,0.3481097590107993
ENSG00000174125,TLR1,10840,0.026794828191454748,0.009553159646602711,0.00504353980850045,2.2972645469495747,0.3481097590107993
ENSG00000141506,PIK3R5,10840,0.026789827352031483,0.009552334371024197,0.005047938089518033,2.2968859801398276,0.3481097590107993
ENSG00000175482,POLD4,10840,0.026787784417364343,0.00955247187100586,0.005051917599188025,2.296543741748891,0.3481097590107993
ENSG00000140931,CMTM3,10840,0.026705953365370964,0.009551882698814514,0.005184912680147433,2.2852585532285485,0.3481097590107993
ENSG00000122694,GLIPR2,10840,0.026704818094559414,0.009552307398188959,0.005188811934845895,2.2849320697442304,0.3481097590107993
ENSG00000172215,CXCR6,10840,0.026716307723195252,0.009558182817512282,0.005197101944038328,2.28423876416635,0.3481097590107993
