gene,rest_coef_beta,rest_se_beta,rest_signed_log10p,stim8hr_coef_beta,stim8hr_se_beta,stim8hr_signed_log10p,stim48hr_coef_beta,stim48hr_se_beta,stim48hr_signed_log10p
AAAS,0.0100353267000892,0.0095526546945207,0.532393283287462,-0.0062197736758296,0.0095015793313168,-0.2901058884415654,-0.0057866777468179,0.0095595429768948,-0.2636254475403022
AACS,-0.0181123523054876,0.0095472864727863,-1.2377822557562044,-0.0186783443224617,0.0094945675506471,-1.3082320281580624,-0.0176295542779547,0.0095564171098196,-1.1864470566109608
AAGAB,0.0058719610879372,0.0095494206340442,0.268707748155079,-0.0078485838001076,0.009495985905849,-0.3887766194086646,-0.0003906781464151,0.0095552675724597,-0.0143995696796189
AAK1,0.0030869892442429,0.0095492025304404,0.1269727843285036,0.0197190644063702,0.0094958986111079,1.4217863092388283,0.004327174722157,0.0095563725099294,0.1866204500353747
AAMDC,-0.0010128003223599,0.0095507725420546,-0.0383181446611805,0.0097329419322613,0.0094958950541959,0.515126392690866,0.0021631088589625,0.0095556838515341,0.085699773284311
AAMP,-0.0067297562237168,0.0095487277724666,-0.3178891943063009,-0.0268368649992433,0.0094964879765725,-2.3258578626538693,-0.001548339288085,0.0095558671664147,-0.0598397256633714
AAR2,-0.0137459272777852,0.0095479846235301,-0.8239369800554346,-0.0175536736761979,0.0094956603364114,-1.1901538098610245,0.0055875997404744,0.0095556316645147,0.2527965057471558
AARSD1,0.0040676209450286,0.0095490744557453,0.1738357326947875,0.0022092468779417,0.0094963276713691,0.0882866518605706,-0.005580880355171,0.0095553946512523,-0.2524365956587447
AASDH,-0.0006918585939091,0.0095488852125708,-0.0258377056426148,-0.0104078512117789,0.0094960892055863,-0.5636838434637234,-0.0023749508906191,0.009555223315851,-0.0948986892920214
AASDHPPT,-0.0040568879581963,0.0095500798178465,-0.1732840581719461,-0.0046541488705633,0.0094972525200873,-0.2047410763609113,0.0026474428235753,0.0095562406799744,0.1069287046613256
AASS,-0.0090847133085733,0.0095499174564322,-0.466634903165859,-0.0125650640211414,0.0095023666852827,-0.7302702094028911,0.001705842509011,0.0095573906395617,0.0663375499100273
ABAT,0.0094254454585807,0.0095493331836896,0.4899221752325214,-0.0048747262759137,0.0094992167858199,-0.2162094540854401,0.0077270167031608,0.0095551601999698,0.3780762811616621
ABCA2,0.012056071954403,0.0095483858538412,0.6845553516745526,-0.0081263579920234,0.0094973292691715,-0.4064791727100882,0.0073043589127048,0.0095550145654283,0.3520168473759529
ABCA3,0.0018729790899864,0.0095490735449992,0.0733991559155893,-0.0010244748037581,0.0094963341710318,-0.0390100928477381,-0.0018962399736051,0.0095558809405536,-0.074323437752963
ABCA5,-0.0066993130262937,0.0095551247526126,-0.3158356727447503,0.0127490000299961,0.0094964975973884,0.7460241986562804,-0.0102878415556407,0.0095550112714487,-0.5503054978147603
ABCA7,0.0075291020938138,0.0095541706988421,0.3658367294218393,0.0156153687516368,0.0094955334640333,0.999555439899906,0.0261051807867391,0.0095536081148113,2.2009448600598196
