Target (Gene),Drug Name,maxClinicalStage
BTK,PIRTOBRUTINIB,APPROVAL
BTK,ACALABRUTINIB,APPROVAL
BTK,ZANUBRUTINIB,APPROVAL
BTK,ORELABRUTINIB,APPROVAL
BTK,RITLECITINIB,APPROVAL
BTK,RITLECITINIB TOSYLATE,APPROVAL
BTK,RILZABRUTINIB,APPROVAL
BTK,IBRUTINIB,APPROVAL
BTK,ACALABRUTINIB MALEATE,APPROVAL
BTK,TIRABRUTINIB,APPROVAL
JAK2,FEDRATINIB HYDROCHLORIDE,APPROVAL
JAK2,UPADACITINIB HEMIHYDRATE,APPROVAL
JAK2,TOFACITINIB CITRATE,APPROVAL
JAK2,LESTAURTINIB,APPROVAL
JAK2,PACRITINIB,APPROVAL
JAK2,FILGOTINIB MALEATE,APPROVAL
JAK2,DEURUXOLITINIB PHOSPHATE,APPROVAL
JAK2,PACRITINIB CITRATE,APPROVAL
JAK2,FEDRATINIB,APPROVAL
JAK2,DELGOCITINIB,APPROVAL
JAK2,MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE,APPROVAL
JAK2,UPADACITINIB,APPROVAL
JAK2,RUXOLITINIB,APPROVAL
JAK2,RUXOLITINIB PHOSPHATE,APPROVAL
JAK2,BARICITINIB,APPROVAL
JAK2,MOMELOTINIB,APPROVAL
JAK2,TOFACITINIB,APPROVAL
JAK2,FILGOTINIB,APPROVAL
KRAS,SOTORASIB,APPROVAL
KRAS,ADAGRASIB,APPROVAL
JAK3,TOFACITINIB,APPROVAL
JAK3,RITLECITINIB TOSYLATE,APPROVAL
JAK3,FILGOTINIB MALEATE,APPROVAL
JAK3,UPADACITINIB,APPROVAL
JAK3,RUXOLITINIB,APPROVAL
JAK3,RITLECITINIB,APPROVAL
JAK3,DELGOCITINIB,APPROVAL
JAK3,UPADACITINIB HEMIHYDRATE,APPROVAL
JAK3,FILGOTINIB,APPROVAL
JAK3,TOFACITINIB CITRATE,APPROVAL
JAK3,DEURUXOLITINIB PHOSPHATE,APPROVAL
KIT,SORAFENIB,APPROVAL
KIT,PEXIDARTINIB HYDROCHLORIDE,APPROVAL
KIT,SORAFENIB TOSYLATE,APPROVAL
KIT,RIPRETINIB,APPROVAL
KIT,AVAPRITINIB,APPROVAL
KIT,TIVOZANIB,APPROVAL
KIT,SUNITINIB,APPROVAL
KIT,DASATINIB ANHYDROUS,APPROVAL
KIT,MIDOSTAURIN,APPROVAL
KIT,IMATINIB MESYLATE,APPROVAL
KIT,PAZOPANIB,APPROVAL
KIT,PAZOPANIB HYDROCHLORIDE,APPROVAL
KIT,REGORAFENIB,APPROVAL
KIT,MASITINIB,APPROVAL
KIT,PEXIDARTINIB,APPROVAL
KIT,IMATINIB,APPROVAL
KIT,QUIZARTINIB,APPROVAL
KIT,TIVOZANIB HYDROCHLORIDE,APPROVAL
KIT,SUNITINIB MALATE,APPROVAL
KIT,CEDIRANIB,APPROVAL
BRAF,SORAFENIB,APPROVAL
BRAF,REGORAFENIB,APPROVAL
BRAF,TOVORAFENIB,APPROVAL
BRAF,DABRAFENIB MESYLATE,APPROVAL
BRAF,DABRAFENIB,APPROVAL
BRAF,ENCORAFENIB,APPROVAL
BRAF,SORAFENIB TOSYLATE,APPROVAL
BRAF,VEMURAFENIB,APPROVAL
DNMT3A,AZACITIDINE,APPROVAL
DNMT3A,DECITABINE,APPROVAL
ADA,AUTOLOGOUS CD34+ ENRICHED CELL FRACTION THAT CONTAINS CD34+ CELLS TRANSDUCED WITH RETROVIRAL VECTOR THAT ENCODES FOR THE HUMAN ADA CDNA SEQUENCE,APPROVAL
ADA,PENTOSTATIN,APPROVAL
CSF3R,BALUGRASTIM,APPROVAL
CSF3R,LENOGRASTIM,APPROVAL
CSF3R,LIPEGFILGRASTIM,APPROVAL
CSF3R,EFBEMALENOGRASTIM ALFA,APPROVAL
CSF3R,EFLAPEGRASTIM,APPROVAL
CSF3R,PEGFILGRASTIM,APPROVAL
CSF3R,FILGRASTIM,APPROVAL
CSF3R,PEGTEOGRASTIM,APPROVAL
CSF3R,REGRAMOSTIM,APPROVAL
ELANE,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,APPROVAL
RAF1,SORAFENIB TOSYLATE,APPROVAL
RAF1,REGORAFENIB,APPROVAL
RAF1,SORAFENIB,APPROVAL
RAF1,TOVORAFENIB,APPROVAL
PIK3CD,LENIOLISIB PHOSPHATE,APPROVAL
PIK3CD,DUVELISIB MONOHYDRATE,APPROVAL
PIK3CD,PARSACLISIB,APPROVAL
PIK3CD,DUVELISIB,APPROVAL
PIK3CD,UMBRALISIB TOSYLATE,APPROVAL
PIK3CD,IDELALISIB,APPROVAL
PIK3CD,COPANLISIB,APPROVAL
PIK3CD,UMBRALISIB,APPROVAL
PIK3CD,LENIOLISIB,APPROVAL
PIK3CD,COPANLISIB HYDROCHLORIDE,APPROVAL
TYK2,DELGOCITINIB,APPROVAL
TYK2,TOFACITINIB CITRATE,APPROVAL
TYK2,FILGOTINIB MALEATE,APPROVAL
TYK2,DEUCRAVACITINIB,APPROVAL
TYK2,UPADACITINIB HEMIHYDRATE,APPROVAL
TYK2,RUXOLITINIB,APPROVAL
TYK2,FILGOTINIB,APPROVAL
TYK2,DEURUXOLITINIB PHOSPHATE,APPROVAL
TYK2,TOFACITINIB,APPROVAL
TYK2,UPADACITINIB,APPROVAL
IL2RG,DACLIZUMAB,APPROVAL
IL2RG,BASILIXIMAB,APPROVAL
IL2RG,ALDESLEUKIN,APPROVAL
IL2RG,DENILEUKIN DIFTITOX,APPROVAL
IL2RG,NOGAPENDEKIN ALFA INBAKICEPT,APPROVAL
FLT3,QUIZARTINIB DIHYDROCHLORIDE,APPROVAL
FLT3,PACRITINIB CITRATE,APPROVAL
FLT3,PACRITINIB,APPROVAL
FLT3,SUNITINIB,APPROVAL
FLT3,PEXIDARTINIB HYDROCHLORIDE,APPROVAL
FLT3,FEDRATINIB HYDROCHLORIDE,APPROVAL
FLT3,SUNITINIB MALATE,APPROVAL
FLT3,MIDOSTAURIN,APPROVAL
FLT3,SORAFENIB TOSYLATE,APPROVAL
FLT3,PEXIDARTINIB,APPROVAL
FLT3,LESTAURTINIB,APPROVAL
FLT3,FEDRATINIB,APPROVAL
FLT3,GILTERITINIB FUMARATE,APPROVAL
FLT3,QUIZARTINIB,APPROVAL
FLT3,GILTERITINIB,APPROVAL
FLT3,SORAFENIB,APPROVAL
ADAMTS13,APADAMTASE ALFA,APPROVAL
CTLA4,IPILIMUMAB,APPROVAL
CTLA4,TREMELIMUMAB,APPROVAL
ITGB2,EFALIZUMAB,APPROVAL
ITGB2,LIFITEGRAST,APPROVAL
NOD2,MIFAMURTIDE,APPROVAL
MPL,ELTROMBOPAG,APPROVAL
MPL,ELTROMBOPAG CHOLINE,APPROVAL
MPL,AVATROMBOPAG,APPROVAL
MPL,AVATROMBOPAG MALEATE,APPROVAL
MPL,ROMIPLOSTIM,APPROVAL
MPL,ELTROMBOPAG OLAMINE,APPROVAL
MPL,LUSUTROMBOPAG,APPROVAL
IL2RA,DENILEUKIN DIFTITOX,APPROVAL
IL2RA,BASILIXIMAB,APPROVAL
IL2RA,ALDESLEUKIN,APPROVAL
IL2RA,DACLIZUMAB,APPROVAL
CD3D,EPCORITAMAB,APPROVAL
CD3D,MUROMONAB-CD3,APPROVAL
CD3D,CATUMAXOMAB,APPROVAL
CD3D,GLOFITAMAB,APPROVAL
CD3D,BLINATUMOMAB,APPROVAL
