symbol	gene_group	gene_group_id
A1BG	Immunoglobulin like domain containing	594
A1BG-AS1	Antisense RNAs	1987
A1CF	RNA binding motif containing	725
A2M	Alpha-2-macroglobulin family	2148
A2M-AS1	Antisense RNAs	1987
A2ML1	Alpha-2-macroglobulin family	2148
A2ML1-AS1	Antisense RNAs	1987
A2ML1-AS2	Antisense RNAs	1987
A3GALT2	Glycosyltransferase family 6	429
A4GALT	Alpha 1,4-glycosyltransferases|Blood group antigens	442|454
A4GNT	Alpha 1,4-glycosyltransferases	442
AAAS	WD repeat domain containing|Nucleoporins	362|1051
AACS	Acyl-CoA synthetase family	40
AACSP1		
AADAC	Lipases|Arylacetamide deacetylase family	464|465
AADACL2	Arylacetamide deacetylase family	465
AADACL2-AS1	Antisense RNAs	1987
AADACL3	Arylacetamide deacetylase family	465
AADACL4	Arylacetamide deacetylase family	465
AADACP1		
AADAT	Transaminases	3517
AAGAB		
AAK1	Small nucleolar RNA protein coding host genes|Numb-associated kinase family	1835|3852
AAMDC		
AAMP	WD repeat domain containing	362
AANAT	GCN5 related N-acetyltransferases	1134
AAR2		
AARD		
AARS1	Aminoacyl tRNA synthetases, Class II	132
AARS1P1		
AARS2	Aminoacyl tRNA synthetases, Class II	132
AARSD1		
AARSD1P1		
AASDH	Acyl-CoA synthetase family	40
AASDH-DT	Divergent transcripts	1990
AASDHPPT		
AASDHPPT-AS1	Antisense RNAs	1987
AASS		
AATBC	Long non-coding RNAs with non-systematic symbols	1992
AATF	MicroRNA protein coding host genes	1691
AAVS1		
ABAT	Transaminases	3517
ABCA1	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
ABCA2	ATP binding cassette subfamily A	805
ABCA3	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
ABCA4	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
ABCA5	ATP binding cassette subfamily A	805
ABCA6	ATP binding cassette subfamily A|MicroRNA protein coding host genes	805|1691
ABCA7	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
ABCA8	ATP binding cassette subfamily A	805
ABCA9	ATP binding cassette subfamily A	805
ABCA9-AS1	Antisense RNAs	1987
ABCA10	ATP binding cassette subfamily A	805
ABCA11P	ATP binding cassette subfamily A	805
ABCA12	ATP binding cassette subfamily A|ATPase phospholipid transporting	805|1210
ABCA13	ATP binding cassette subfamily A	805
ABCA15P	ATP binding cassette subfamily A|Unitary pseudogenes	805|3418
ABCA16P	ATP binding cassette subfamily A|Unitary pseudogenes	805|3418
ABCA17P	ATP binding cassette subfamily A|Unitary pseudogenes	805|3418
ABCB1	CD molecules|ATP binding cassette subfamily B|ATPase phospholipid transporting	471|806|1210
ABCB4	ATP binding cassette subfamily B|ATPase phospholipid transporting	806|1210
ABCB4P1		
ABCB5	ATP binding cassette subfamily B	806
ABCB6	Blood group antigens|ATP binding cassette subfamily B	454|806
ABCB7	ATP binding cassette subfamily B	806
ABCB8	ATP binding cassette subfamily B	806
ABCB9	ATP binding cassette subfamily B	806
ABCB10	ATP binding cassette subfamily B	806
ABCB10P1		
ABCB10P3		
ABCB10P4		
ABCB11	ATP binding cassette subfamily B	806
ABCC1	Blood group antigens|ATP binding cassette subfamily C	454|807
ABCC2	ATP binding cassette subfamily C	807
ABCC3	ATP binding cassette subfamily C	807
ABCC4	Blood group antigens|ATP binding cassette subfamily C	454|807
ABCC5	ATP binding cassette subfamily C	807
ABCC5-AS1	Antisense RNAs	1987
ABCC6	ATP binding cassette subfamily C	807
ABCC6P1		
ABCC6P2		
ABCC8	ATP binding cassette subfamily C	807
ABCC9	ATP binding cassette subfamily C	807
ABCC10	ATP binding cassette subfamily C|MicroRNA protein coding host genes	807|1691
ABCC11	ATP binding cassette subfamily C	807
ABCC12	ATP binding cassette subfamily C	807
ABCC13	ATP binding cassette subfamily C|Unitary pseudogenes	807|3418
ABCD1	ATP binding cassette subfamily D	808
ABCD1P1		
ABCD1P2		
ABCD1P3		
ABCD1P4		
ABCD1P5		
ABCD2	ATP binding cassette subfamily D	808
ABCD3	ATP binding cassette subfamily D|GOLD domain containing	808|1062
ABCD4	ATP binding cassette subfamily D	808
ABCE1	ATP binding cassette subfamily E	809
ABCE1P1		
ABCE1P2		
ABCE1P3		
ABCF1	ATP binding cassette subfamily F|MicroRNA protein coding host genes	810|1691
ABCF1-DT	Divergent transcripts	1990
ABCF2	ATP binding cassette subfamily F	810
ABCF2-H2BK1		
ABCF2P1		
ABCF2P2		
ABCF3	ATP binding cassette subfamily F	810
ABCG1	ATP binding cassette subfamily G	811
ABCG2	Blood group antigens|CD molecules|ATP binding cassette subfamily G	454|471|811
ABCG4	ATP binding cassette subfamily G	811
ABCG5	ATP binding cassette subfamily G	811
ABCG8	ATP binding cassette subfamily G	811
ABHD1	Abhydrolase domain containing	4
ABHD2	Abhydrolase domain containing	4
ABHD3	Abhydrolase domain containing	4
ABHD4	Abhydrolase domain containing	4
ABHD5	Abhydrolase domain containing	4
ABHD6	Abhydrolase domain containing|2-arachidonoylglycerol hydrolases	4|3503
ABHD8	Abhydrolase domain containing	4
ABHD10	Abhydrolase domain containing	4
ABHD11	Abhydrolase domain containing	4
ABHD12	Abhydrolase domain containing|2-arachidonoylglycerol hydrolases	4|3503
ABHD12B	Abhydrolase domain containing	4
ABHD13	Abhydrolase domain containing	4
ABHD14A	Abhydrolase domain containing	4
ABHD14A-ACY1		
ABHD14B	Abhydrolase domain containing	4
ABHD15	Abhydrolase domain containing	4
ABHD15-AS1	Antisense RNAs	1987
ABHD16A	Abhydrolase domain containing|MicroRNA protein coding host genes	4|1691
ABHD16A-AS1	Antisense RNAs	1987
ABHD16B	Abhydrolase domain containing	4
ABHD16B-AS1	Antisense RNAs	1987
ABHD17A	Abhydrolase domain containing|Depalmitoylases	4|1749
ABHD17AP1		
ABHD17AP3		
ABHD17AP4		
ABHD17AP5		
ABHD17AP6		
ABHD17AP7		
ABHD17AP8		
ABHD17AP9		
ABHD17B	Abhydrolase domain containing|Depalmitoylases	4|1749
ABHD17C	Abhydrolase domain containing|Depalmitoylases	4|1749
ABHD18	Abhydrolase domain containing	4
ABI1	ABI family	3723
ABI1P1		
ABI2	SCAR/WAVE complex|ABI family	1793|3723
ABI3	ABI family	3723
ABI3BP	Fibronectin type III domain containing	555
ABITRAM		
ABITRAMP1		
