Gene	Gene name	nTPM
ENSG00000000003	TSPAN6	2.1
ENSG00000000005	TNMD	0.0
ENSG00000000419	DPM1	22.7
ENSG00000000457	SCYL3	13.6
ENSG00000000460	C1orf112	2.4
ENSG00000000938	FGR	493.6
ENSG00000000971	CFH	17.6
ENSG00000001036	FUCA2	84.9
ENSG00000001084	GCLC	4.2
ENSG00000001167	NFYA	7.5
ENSG00000001460	STPG1	2.3
ENSG00000001461	NIPAL3	39.0
ENSG00000001497	LAS1L	26.4
ENSG00000001561	ENPP4	9.2
ENSG00000001617	SEMA3F	0.0
ENSG00000001626	CFTR	0.0
ENSG00000001629	ANKIB1	2.0
ENSG00000001630	CYP51A1	16.6
ENSG00000001631	KRIT1	8.6
ENSG00000002016	RAD52	6.9
ENSG00000002330	BAD	102.6
ENSG00000002549	LAP3	210.1
ENSG00000002586	CD99	1419.7
ENSG00000002587	HS3ST1	42.5
ENSG00000002726	AOC1	31.3
ENSG00000002745	WNT16	15.6
ENSG00000002746	HECW1	2.1
ENSG00000002822	MAD1L1	131.9
ENSG00000002834	LASP1	67.3
ENSG00000002919	SNX11	93.4
ENSG00000002933	TMEM176A	146.6
ENSG00000003056	M6PR	708.6
ENSG00000003096	KLHL13	7.3
ENSG00000003137	CYP26B1	0.0
ENSG00000003147	ICA1	30.0
ENSG00000003249	DBNDD1	12.9
ENSG00000003393	ALS2	22.8
ENSG00000003400	CASP10	18.1
ENSG00000003402	CFLAR	394.0
ENSG00000003436	TFPI	3.3
ENSG00000003509	NDUFAF7	5.3
ENSG00000003756	RBM5	54.6
ENSG00000003987	MTMR7	0.1
ENSG00000003989	SLC7A2	0.0
ENSG00000004059	ARF5	449.5
ENSG00000004139	SARM1	0.5
ENSG00000004142	POLDIP2	60.1
ENSG00000004399	PLXND1	10.8
ENSG00000004455	AK2	165.7
ENSG00000004468	CD38	18.3
ENSG00000004478	FKBP4	17.2
ENSG00000004487	KDM1A	6.8
ENSG00000004534	RBM6	16.6
ENSG00000004660	CAMKK1	2.7
ENSG00000004700	RECQL	45.0
ENSG00000004766	VPS50	4.5
ENSG00000004776	HSPB6	0.0
ENSG00000004777	ARHGAP33	0.0
ENSG00000004779	NDUFAB1	268.7
ENSG00000004799	PDK4	63.5
ENSG00000004809	SLC22A16	7.0
ENSG00000004838	ZMYND10	1.2
ENSG00000004846	ABCB5	0.6
ENSG00000004848	ARX	0.0
ENSG00000004864	SLC25A13	6.1
ENSG00000004866	ST7	10.3
ENSG00000004897	CDC27	9.3
ENSG00000004939	SLC4A1	0.7
ENSG00000004948	CALCR	0.0
ENSG00000004961	HCCS	66.5
ENSG00000004975	DVL2	13.5
ENSG00000005001	PRSS22	0.0
ENSG00000005007	UPF1	0.0
ENSG00000005020	SKAP2	100.6
ENSG00000005022	SLC25A5	1046.2
ENSG00000005059	MCUB	115.1
ENSG00000005073	HOXA11	0.0
ENSG00000005075	POLR2J	196.5
ENSG00000005100	DHX33	0.9
ENSG00000005102	MEOX1	17.5
ENSG00000005108	THSD7A	5.3
ENSG00000005156	LIG3	9.3
ENSG00000005175	RPAP3	33.0
ENSG00000005187	ACSM3	23.5
ENSG00000005189	REXO5	87.2
ENSG00000005194	CIAPIN1	154.5
ENSG00000005206	SPPL2B	17.1
ENSG00000005238	ATOSB	16.3
ENSG00000005243	COPZ2	0.5
ENSG00000005249	PRKAR2B	0.5
ENSG00000005302	MSL3	66.5
ENSG00000005339	CREBBP	6.8
ENSG00000005379	TSPOAP1	1.7
ENSG00000005381	MPO	6.3
ENSG00000005421	PON1	0.1
ENSG00000005436	GCFC2	18.3
ENSG00000005448	WDR54	46.8
ENSG00000005469	CROT	13.0
ENSG00000005471	ABCB4	8.2
ENSG00000005483	KMT2E	233.5
ENSG00000005486	RHBDD2	400.9
ENSG00000005513	SOX8	0.3
ENSG00000005700	IBTK	2.7
ENSG00000005801	ZNF195	28.4
ENSG00000005810	MYCBP2	3.1
ENSG00000005812	FBXL3	8.0
ENSG00000005844	ITGAL	122.4
ENSG00000005882	PDK2	25.8
ENSG00000005884	ITGA3	0.1
ENSG00000005889	ZFX	11.9
ENSG00000005893	LAMP2	564.0
ENSG00000005961	ITGA2B	65.1
ENSG00000005981	ASB4	0.1
ENSG00000006007	GDE1	52.2
ENSG00000006015	REX1BD	153.4
ENSG00000006016	CRLF1	0.0
ENSG00000006025	OSBPL7	1.8
ENSG00000006042	TMEM98	4.0
ENSG00000006047	YBX2	0.0
ENSG00000006059	KRT33A	0.0
ENSG00000006062	MAP3K14	4.4
ENSG00000006071	ABCC8	0.0
ENSG00000006116	CACNG3	0.0
ENSG00000006118	TMEM132A	0.1
ENSG00000006125	AP2B1	20.6
ENSG00000006128	TAC1	0.0
ENSG00000006194	ZNF263	3.7
ENSG00000006210	CX3CL1	0.2
ENSG00000006282	SPATA20	8.3
ENSG00000006283	CACNA1G	0.2
ENSG00000006327	TNFRSF12A	140.0
ENSG00000006377	DLX6	0.1
ENSG00000006432	MAP3K9	0.3
ENSG00000006451	RALA	38.4
ENSG00000006453	BAIAP2L1	0.5
ENSG00000006459	KDM7A	2.2
ENSG00000006468	ETV1	0.7
ENSG00000006530	AGK	97.6
ENSG00000006534	ALDH3B1	157.1
ENSG00000006555	TTC22	3.6
ENSG00000006576	PHTF2	25.7
ENSG00000006606	CCL26	0.5
ENSG00000006607	FARP2	7.4
ENSG00000006611	USH1C	0.0
ENSG00000006625	GGCT	34.2
ENSG00000006634	DBF4	1.0
ENSG00000006638	TBXA2R	11.1
ENSG00000006652	IFRD1	112.7
ENSG00000006659	LGALS14	0.6
ENSG00000006695	COX10	20.2
ENSG00000006704	GTF2IRD1	0.3
ENSG00000006712	PAF1	40.3
ENSG00000006715	VPS41	28.1
ENSG00000006740	ARHGAP44	0.0
ENSG00000006744	ELAC2	53.6
