rank	gene	gene_id	pu_score	label_all	label_immune	label_status	family	gwas_present	perturbseq_measured	polarization_measured	oob_models
1	C3	ENSG00000125730	0.985032	1	1	positive	HGNC:542	1	0	0	0
2	NOS2	ENSG00000007171	0.982107	0	0	unlabeled	HGNC:2258	1	0	0	99
3	TERT	ENSG00000164362	0.981999	1	1	positive	HGNC:3438	1	1	0	0
4	C5	ENSG00000106804	0.979060	1	1	positive	HGNC:542	1	0	0	0
5	IL10	ENSG00000136634	0.978042	0	0	unlabeled	HGNC:601	1	1	0	99
6	CFHR3	ENSG00000116785	0.976222	0	0	unlabeled	HGNC:1179	1	0	0	99
7	TNFSF11	ENSG00000120659	0.975732	1	1	positive	HGNC:471	1	1	0	0
8	CSF3R	ENSG00000119535	0.975470	1	1	positive	HGNC:471	1	0	0	0
9	JAK1	ENSG00000162434	0.975028	1	1	positive	HGNC:1293	1	0	0	0
10	CDCA7	ENSG00000144354	0.974897	0	0	unlabeled	PFX:CDC	1	1	0	98
11	ERN1	ENSG00000178607	0.974789	0	0	unlabeled	HGNC:1687	1	1	1	97
12	TRAF3IP2	ENSG00000056972	0.973825	1	1	positive	PFX:TRA	1	1	0	0
13	MAP3K14	ENSG00000006062	0.973162	0	0	unlabeled	HGNC:654	1	1	0	99
14	NBEAL2	ENSG00000160796	0.972672	0	0	unlabeled	HGNC:362	1	1	0	100
15	NLRP3	ENSG00000162711	0.971645	0	0	unlabeled	HGNC:666	1	0	0	98
16	IL2RA	ENSG00000134460	0.971554	1	1	positive	HGNC:471	1	1	1	0
17	SRP54	ENSG00000100883	0.970708	0	0	unlabeled	HGNC:1876	1	1	0	98
18	IRF3	ENSG00000126456	0.970084	0	0	unlabeled	HGNC:1743	1	1	0	99
19	ZAP70	ENSG00000115085	0.970008	0	0	unlabeled	HGNC:741	1	1	1	97
20	CD40	ENSG00000101017	0.969985	0	0	unlabeled	HGNC:471	1	1	0	99
21	CORO1A	ENSG00000102879	0.969953	0	0	unlabeled	HGNC:362	1	1	0	96
22	ACTB	ENSG00000075624	0.969043	0	0	unlabeled	HGNC:929	1	0	1	98
23	RPSA	ENSG00000168028	0.967818	0	0	unlabeled	HGNC:728	1	0	0	99
24	ICOSLG	ENSG00000160223	0.967805	0	0	unlabeled	HGNC:471	1	0	0	97
25	IKBKE	ENSG00000263528	0.967679	0	0	unlabeled	HGNC:1691	1	1	0	98
26	RASGRP1	ENSG00000172575	0.967561	0	0	unlabeled	HGNC:863	1	1	1	99
27	IFNG	ENSG00000111537	0.966825	1	1	positive	HGNC:598	1	1	0	0
28	IL1R1	ENSG00000115594	0.966710	1	1	positive	HGNC:471	1	1	0	0
29	IKZF1	ENSG00000185811	0.966245	0	0	unlabeled	HGNC:28	1	1	1	97
30	NFKBIA	ENSG00000100906	0.965943	0	0	unlabeled	HGNC:403	1	1	0	98
31	CARD11	ENSG00000198286	0.965471	0	0	unlabeled	HGNC:904	1	1	1	97
32	RORC	ENSG00000143365	0.965132	0	0	unlabeled	HGNC:2082	1	1	0	98
33	LYN	ENSG00000254087	0.965125	1	1	positive	HGNC:741	1	1	0	0
34	RAD50	ENSG00000113522	0.964765	0	0	unlabeled	HGNC:1336	1	1	1	97
35	CXCR2	ENSG00000180871	0.964419	0	0	unlabeled	HGNC:471	1	0	0	96
36	ATM	ENSG00000149311	0.964415	0	0	unlabeled	HGNC:1492	1	1	1	100
37	MALT1	ENSG00000172175	0.964391	0	0	unlabeled	HGNC:594	1	1	1	97
38	IL12B	ENSG00000113302	0.964274	1	1	positive	HGNC:594	1	0	0	0
39	ICOS	ENSG00000163600	0.963502	0	0	unlabeled	HGNC:471	1	1	1	96
40	NCF1	ENSG00000158517	0.963207	0	0	unlabeled	PFX:NCF	1	1	0	100
41	STAT1	ENSG00000115415	0.962974	0	0	unlabeled	HGNC:741	1	1	1	100
42	TNFAIP3	ENSG00000118503	0.962919	0	0	unlabeled	HGNC:669	1	1	1	95
43	STAT4	ENSG00000138378	0.962885	0	0	unlabeled	HGNC:741	1	1	0	100
44	CTLA4	ENSG00000163599	0.962874	1	1	positive	HGNC:471	1	1	0	0
45	FCGR3A	ENSG00000203747	0.962796	0	0	unlabeled	HGNC:471	1	0	0	95
46	TGFBR1	ENSG00000106799	0.962240	0	0	unlabeled	HGNC:345	1	1	0	99
