gene	gene_id	pu_score	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	rest_coef_beta	rest_se_beta	rest_signed_log10p	stim8hr_coef_beta	stim8hr_se_beta	stim8hr_signed_log10p	stim48hr_coef_beta	stim48hr_se_beta	stim48hr_signed_log10p	polarization_score
A1BG	ENSG00000121410	0.014859	1.229200	-0.295160	0	0.000000										
A1CF	ENSG00000148584	0.418386	0.886620	1.047900	0	0.030836										
A2M	ENSG00000175899	0.050123	0.805860	2.951900	0	0.000000										-12.607133
A2ML1	ENSG00000166535	0.685155	1.008800	0.995170	0	0.051479										
A3GALT2	ENSG00000184389	0.012435	1.318500	-2.100000	0	0.000000										
A4GALT	ENSG00000128274	0.689355		-0.502380	0	0.414555										
A4GNT	ENSG00000118017	0.020347	1.421800	0.835360	0	0.000000										
AAAS	ENSG00000094914	0.024514	0.983620	0.470800	0	0.000000	0.010035	0.009553	0.532393	-0.006220	0.009502	-0.290106	-0.005787	0.009560	-0.263625	
AACS	ENSG00000081760	0.608468	1.014900	0.232190	0	0.395238	-0.018112	0.009547	-1.237782	-0.018678	0.009495	-1.308232	-0.017630	0.009556	-1.186447	-1.438725
AADAC	ENSG00000114771	0.653716	1.120900	0.174180	0	0.522032										
AADACL2	ENSG00000197953	0.015351	1.460300	0.211260	0	0.000000										
AADACL3	ENSG00000188984	0.016312	1.517900	-0.377080	0	0.000000										
AADACL4	ENSG00000204518	0.506336	1.115800	-0.280410	0	0.076671										
AADAT	ENSG00000109576	0.032229	0.620810	2.331600	0	0.000000										
AAGAB	ENSG00000103591	0.227156	1.130300	-1.681100	0	0.442544	0.005872	0.009549	0.268708	-0.007849	0.009496	-0.388777	-0.000391	0.009555	-0.014400	4.354804
AAK1	ENSG00000115977	0.717814	0.419480	3.136500	0	0.421020	0.003087	0.009549	0.126973	0.019719	0.009496	1.421786	0.004327	0.009556	0.186620	
AAMDC	ENSG00000087884	0.472356	1.568800	0.137140	0	0.393114	-0.001013	0.009551	-0.038318	0.009733	0.009496	0.515126	0.002163	0.009556	0.085700	-1.231683
AAMP	ENSG00000127837	0.648630	0.380610	2.515100	0	0.360543	-0.006730	0.009549	-0.317889	-0.026837	0.009496	-2.325858	-0.001548	0.009556	-0.059840	
AANAT	ENSG00000129673	0.016264	1.168300	0.255070	0	0.000000										
AAR2	ENSG00000131043	0.024790	1.552900	1.179100	0	0.000000	-0.013746	0.009548	-0.823937	-0.017554	0.009496	-1.190154	0.005588	0.009556	0.252797	2.027121
AARD	ENSG00000205002	0.011850	1.687400	-0.757100	0	0.000000										
AARS1	ENSG00000090861	0.026515	0.804400	0.487780	0	0.000000										
AARS2	ENSG00000124608	0.839385	0.786890	1.594500	0	0.665195										
AARSD1	ENSG00000266967	0.009196	1.161400	0.225410	0	0.000000	0.004068	0.009549	0.173836	0.002209	0.009496	0.088287	-0.005581	0.009555	-0.252437	
AASDH	ENSG00000157426	0.007841	0.952000	0.757370	0	0.000000	-0.000692	0.009549	-0.025838	-0.010408	0.009496	-0.563684	-0.002375	0.009555	-0.094899	4.737091
AASDHPPT	ENSG00000149313	0.524138	0.894660	0.026383	0	0.098277	-0.004057	0.009550	-0.173284	-0.004654	0.009497	-0.204741	0.002647	0.009556	0.106929	-2.324224
AASS	ENSG00000008311	0.017087	0.976470	1.201400	0	0.000000	-0.009085	0.009550	-0.466635	-0.012565	0.009502	-0.730270	0.001706	0.009557	0.066338	-17.694090
AATF	ENSG00000275700	0.707688	0.958300	0.760990	0	0.158617										
LMTK1	ENSG00000181409	0.014136	0.947700	-2.028400	0	0.000000										
ABAT	ENSG00000183044	0.014103	0.892530	0.422260	0	0.000000	0.009425	0.009549	0.489922	-0.004875	0.009499	-0.216209	0.007727	0.009555	0.378076	
ABCA1	ENSG00000165029	0.036164	0.585060	2.634300	0	0.000000										-3.885993
ABCA10	ENSG00000154263	0.014218	1.023800	0.855770	0	0.000000										
ABCA12	ENSG00000144452	0.848251	0.606990	2.249600	0	0.048713										
ABCA13	ENSG00000179869	0.612698	1.072600	-0.828820	0	0.399625										
ABCA2	ENSG00000107331	0.720733	0.383170	5.436500	0	0.472177	0.012056	0.009548	0.684555	-0.008126	0.009497	-0.406479	0.007304	0.009555	0.352017	
ABCA3	ENSG00000167972	0.012526	0.607890	1.218000	0	0.000000	0.001873	0.009549	0.073399	-0.001024	0.009496	-0.039010	-0.001896	0.009556	-0.074323	6.322698
ABCA4	ENSG00000198691	0.691284	0.836640	0.503520	0	0.396520										
ABCA5	ENSG00000154265	0.497524	0.900930	0.525900	0	0.058697	-0.006699	0.009555	-0.315836	0.012749	0.009496	0.746024	-0.010288	0.009555	-0.550305	16.047144
ABCA6	ENSG00000154262	0.517834	0.976550	-0.626550	0	0.058695										
ABCA7	ENSG00000064687	0.037228	1.270500	-3.205500	0	0.000000	0.007529	0.009554	0.365837	0.015615	0.009496	0.999555	0.026105	0.009554	2.200945	
ABCA8	ENSG00000141338	0.008851	1.042800	-0.099613	0	0.000000										
ABCA9	ENSG00000154258	0.012375	1.007400	1.047900	0	0.000000										
ABCB1	ENSG00000085563	0.822080	0.593540	2.473400	0	0.336469	0.003296	0.009550	0.136665	-0.001696	0.009498	-0.066374	-0.001259	0.009556	-0.048075	
ABCB10	ENSG00000135776	0.662069	1.035800	1.782700	0	0.058634	-0.003193	0.009550	-0.131871	0.005001	0.009496	0.222960	0.002217	0.009559	0.087978	
ABCB11	ENSG00000073734	0.030480	0.761260	1.005600	0	0.000000										
ABCB4	ENSG00000005471	0.883071	0.631480	3.453700	0	0.088450										
ABCB5	ENSG00000004846	0.651695	1.228300	-3.382100	0	0.658461										
ABCB6	ENSG00000115657	0.030503	1.046000	0.616450	0	0.000000	-0.019755	0.009547	-1.414054	0.003496	0.009498	0.147023	0.002245	0.009557	0.089217	
ABCB8	ENSG00000197150	0.045450	0.897850	0.896550	0	0.000000	0.004583	0.009550	0.199780	0.013806	0.009496	0.835546	-0.005001	0.009558	-0.221283	
ABCB9	ENSG00000150967	0.031165	0.766950	1.467100	0	0.000000	-0.002423	0.009550	-0.097079	-0.012535	0.009496	-0.728436	0.011912	0.009556	0.672427	
ABCC1	ENSG00000103222	0.022438	0.576060	1.769500	0	0.000000	-0.010460	0.009551	-0.563108	-0.006238	0.009501	-0.291198	-0.002245	0.009557	-0.089245	17.261015
ABCC10	ENSG00000124574	0.032391	0.899820	1.961800	0	0.000000										
ABCC11	ENSG00000121270	0.503142	1.042800	0.433120	0	0.047046										
ABCC12	ENSG00000140798	0.653220	1.080000	0.550340	0	0.343918										
ABCC2	ENSG00000023839	0.009988	1.033700	0.299890	0	0.000000	0.006271	0.009549	0.291248	-0.010895	0.009496	-0.599884	-0.007262	0.009556	-0.349397	
ABCC3	ENSG00000108846	0.028120	0.851030	0.915380	0	0.000000										
ABCC4	ENSG00000125257	0.565485	0.713790	2.169000	0	0.066662	-0.018590	0.009547	-1.287797	-0.017322	0.009496	-1.166558	0.005678	0.009555	0.257745	24.589830
ABCC5	ENSG00000114770	0.026525	0.469200	5.060500	0	0.000000	0.005411	0.009549	0.243386	-0.015349	0.009497	-0.974302	0.012625	0.009556	0.729381	
ABCC6	ENSG00000091262	0.032024	0.861790	1.886300	0	0.000000										
ABCC8	ENSG00000006071	0.921296	0.839800	3.022900	0	0.466784										
ABCC9	ENSG00000069431	0.052473	0.598420	7.624000	0	0.000000										
ABCD2	ENSG00000173208	0.018909	0.670060	2.304000	0	0.000000	0.012354	0.009548	0.708318	0.021932	0.009502	1.677691	0.011194	0.009555	0.617228	-11.401179
ABCD3	ENSG00000117528	0.674907	0.504370	2.768200	0	0.273863	-0.000534	0.009550	-0.019828	-0.006646	0.009496	-0.315122	0.001331	0.009555	0.050988	
ABCD4	ENSG00000119688	0.014667	0.772340	0.115730	0	0.000000	0.003474	0.009549	0.145068	0.009078	0.009496	0.469640	-0.003217	0.009556	-0.132894	26.734210
ABCE1	ENSG00000164163	0.057889	0.376670	6.220100	0	0.000000	-0.002974	0.009551	-0.121735	-0.020554	0.009495	-1.516808	-0.008970	0.009556	-0.458469	
ABCF1	ENSG00000204574	0.047469	0.702000	3.560400	0	0.000000										
ABCF2	ENSG00000033050	0.765108	0.632710	3.936400	0	0.075837	-0.008112	0.009549	-0.402757	-0.009783	0.009496	-0.518650	-0.017569	0.009554	-1.180760	
ABCF2-H2BK1	ENSG00000285292	0.041964	0.654980	3.921600	0	0.000000										
ABCF3	ENSG00000161204	0.037563	0.812490	1.154400	0	0.000000	-0.010679	0.009549	-0.579291	0.000910	0.009496	0.034487	0.024676	0.009552	2.008684	
ABCG1	ENSG00000160179	0.613280	0.571550	2.562700	0	0.086562	-0.011881	0.009549	-0.670630	-0.005013	0.009500	-0.223497	-0.004756	0.009555	-0.208563	
ABCG2	ENSG00000118777	0.016802	1.310000	-0.148680	0	0.000000	-0.002180	0.009548	-0.086513	0.010678	0.009497	0.583537	-0.005149	0.009555	-0.229179	
ABCG4	ENSG00000172350	0.049805	0.717830	3.464100	0	0.000000										
ABCG5	ENSG00000138075	0.011993	1.222400	-1.162800	0	0.000000										
ABCG8	ENSG00000143921	0.013544	1.367000	-3.662900	0	0.000000										
ABHD1	ENSG00000143994	0.012382	1.446300	-0.886400	0	0.000000										
ABHD10	ENSG00000144827	0.020210	0.948250	0.610130	0	0.000000	-0.013224	0.009550	-0.779411	-0.004509	0.009504	-0.197096	-0.005221	0.009555	-0.232999	
ABHD11	ENSG00000106077	0.033348	1.244900	0.860050	0	0.000000	-0.009405	0.009549	-0.488553	0.010910	0.009497	0.600895	0.008628	0.009555	0.435871	
ABHD12	ENSG00000100997	0.038945	0.951110	-0.033794	0	0.000000	-0.001969	0.009550	-0.077446	-0.010330	0.009496	-0.558036	-0.014694	0.009557	-0.905870	0.493476
ABHD12B	ENSG00000131969	0.012410	1.077000	-0.630110	0	0.000000										
ABHD13	ENSG00000139826	0.454281	0.522420	2.140800	0	0.037683	0.001879	0.009550	0.073634	-0.008232	0.009500	-0.413202	0.008449	0.009559	0.423912	4.866653
ABHD14A	ENSG00000248487	0.327471	1.032200	0.772460	0	0.056848	-0.001064	0.009549	-0.040335	0.006332	0.009501	0.296590	0.006564	0.009555	0.307956	5.960984
ABHD14A-ACY1	ENSG00000114786	0.018762	0.952670	1.023400	0	0.000000										
ABHD14B	ENSG00000114779	0.311338	1.806700	0.626340	0	0.213589	-0.006013	0.009549	-0.276626	-0.006418	0.009496	-0.301791	0.013236	0.009555	0.779884	-19.177477
ABHD15	ENSG00000168792	0.014623	1.317500	0.107070	0	0.000000										
ABHD16A	ENSG00000204427	0.034443	0.667780	2.432200	0	0.000000	-0.001654	0.009549	-0.064240	0.011048	0.009496	0.611425	0.005954	0.009557	0.273060	
ABHD16B	ENSG00000183260	0.438795	2.076500	-0.726380	0	0.182235										12.077770
ABHD17A	ENSG00000129968	0.037467	0.632550	3.297200	0	0.000000										4.002338
ABHD17B	ENSG00000107362	0.046963	0.600290	2.911400	0	0.000000	-0.011632	0.009556	-0.650635	-0.025080	0.009494	-2.083037	0.003443	0.009557	0.143489	
ABHD17C	ENSG00000136379	0.888547	0.651880	3.741500	0	0.464979	0.001630	0.009548	0.063241	0.001372	0.009496	0.053002	-0.018161	0.009556	-1.241092	
ABHD18	ENSG00000164074	0.598821	1.045300	0.459660	0	0.043856	-0.000146	0.009549	-0.005344	0.008958	0.009496	0.461483	0.016077	0.009557	1.033564	
ABHD2	ENSG00000140526	0.029419	0.603770	2.650400	0	0.000000	0.012065	0.009549	0.685215	0.000458	0.009499	0.017019	-0.004031	0.009555	-0.171910	-29.275224
ABHD3	ENSG00000158201	0.025698	1.204100	0.148540	0	0.000000	0.015056	0.009548	0.939811	0.015334	0.009498	0.972795	0.021285	0.009553	1.586755	
ABHD4	ENSG00000100439	0.383443	1.098200	1.315500	0	0.132198	-0.010519	0.009550	-0.567480	-0.005788	0.009501	-0.265702	-0.001876	0.009555	-0.073495	
ABHD5	ENSG00000011198	0.671501	0.906120	0.504680	0	0.295877	-0.016246	0.009548	-1.051228	0.017530	0.009496	1.187571	-0.018898	0.009554	-1.319254	
ABHD6	ENSG00000163686	0.754993	1.137200	0.883390	0	0.418278	-0.011782	0.009548	-0.663026	0.005095	0.009497	0.227930	0.001980	0.009557	0.077867	-4.944800
ABHD8	ENSG00000127220	0.050121	0.578480	1.020100	0	0.000000	0.018031	0.009548	1.229333	0.011575	0.009497	0.651861	0.005346	0.009557	0.239602	
ABI1	ENSG00000136754	0.536581	0.401090	2.708200	0	0.437914	-0.007171	0.009552	-0.344044	-0.012812	0.009498	-0.751117	-0.003973	0.009555	-0.169060	
ABI2	ENSG00000138443	0.030901	0.589770	2.234900	0	0.000000	0.000588	0.009550	0.021873	-0.009616	0.009496	-0.506927	-0.006155	0.009555	-0.284446	
ABI3	ENSG00000108798	0.038985	0.911750	0.080144	0	0.000000	0.010536	0.009550	0.568725	0.016630	0.009495	1.097409	0.015934	0.009554	1.020487	-0.079398
ABI3BP	ENSG00000154175	0.798626	0.900100	0.843320	0	0.586216										
ABITRAM	ENSG00000119328	0.033387	1.219600	0.149510	0	0.000000	-0.002616	0.009549	-0.105606	0.002652	0.009496	0.107882	-0.018646	0.009556	-1.291970	-1.637893
ABL1	ENSG00000097007	0.020004	0.192300	4.502300	0	0.000000	-0.008803	0.009549	-0.447762	-0.007061	0.009496	-0.339934	0.003290	0.009555	0.136310	
ABL2	ENSG00000143322	0.595170	0.577030	2.368600	0	0.433146	-0.008461	0.009549	-0.425278	0.007993	0.009496	0.397976	0.003886	0.009555	0.164809	-2.158126
ABLIM1	ENSG00000099204	0.793031	0.486840	2.035100	0	0.299567										
ABLIM2	ENSG00000163995	0.621996	0.682260	0.466500	0	0.414441										
ABLIM3	ENSG00000173210	0.634543	0.689450	1.336400	0	0.440957										
ABO	ENSG00000175164	0.713320	1.280500	0.195220	0	0.872104										
ABR	ENSG00000159842	0.890823	0.432660	3.833500	0	0.583802	0.006541	0.009549	0.306841	0.016474	0.009495	1.082175	0.019207	0.009553	1.352636	
ABRA	ENSG00000174429	0.477218	1.045000	-0.178280	0	0.074581										
ABRACL	ENSG00000146386	0.019899	1.302300	-0.290620	0	0.000000	-0.015891	0.009548	-1.017392	-0.011777	0.009496	-0.667689	-0.026909	0.009553	-2.313529	
ABRAXAS1	ENSG00000163322	0.013156	0.939150	0.853250	0	0.000000	0.000521	0.009549	0.019309	-0.006462	0.009497	-0.304307	-0.001514	0.009556	-0.058432	
ABRAXAS2	ENSG00000165660	0.428930	0.664720	1.298000	0	0.034807	-0.009650	0.009548	-0.505517	0.010730	0.009496	0.587466	0.001132	0.009556	0.043015	
ABT1	ENSG00000146109	0.011691	1.479100	-1.093300	0	0.000000										
ABTB1	ENSG00000114626	0.021251	1.009700	0.599880	0	0.000000	-0.003071	0.009551	-0.126202	-0.000822	0.009497	-0.031027	0.007633	0.009556	0.372177	
ABTB2	ENSG00000166016	0.633987	0.671960	1.462700	0	0.390432	-0.004179	0.009553	-0.179280	-0.003016	0.009496	-0.124491	0.010376	0.009557	0.556527	
ACAA1	ENSG00000060971	0.028231	1.159400	0.903930	0	0.000000	-0.035540	0.009543	-3.705565	-0.009051	0.009496	-0.467825	-0.013199	0.009555	-0.776724	
ACAA2	ENSG00000167315	0.029972	1.035300	0.282590	0	0.000000	0.000145	0.009550	0.005310	0.017178	0.009496	1.151928	0.010126	0.009555	0.538688	
ACACA	ENSG00000278540	0.019771	0.409720	11.198000	0	0.000000	-0.000317	0.009549	-0.011644	-0.011170	0.009496	-0.620742	-0.005361	0.009555	-0.240536	-1.267596
ACACB	ENSG00000076555	0.650448	0.840660	3.125300	0	0.033442	-0.000329	0.009550	-0.012094	-0.009318	0.009497	-0.486065	0.020904	0.009553	1.542382	
ACAD10	ENSG00000111271	0.885285	1.121700	1.058200	0	0.603253	-0.016004	0.009548	-1.028139	0.001421	0.009497	0.054986	0.006425	0.009558	0.299768	
ACAD11	ENSG00000240303	0.385019	0.974950	0.701230	0	0.061501	0.013906	0.009548	0.837722	-0.004143	0.009497	-0.178717	0.008571	0.009555	0.432153	19.377199
ACAD8	ENSG00000151498	0.522410	1.129200	0.755850	0	0.167024	0.002408	0.009550	0.096411	0.014766	0.009495	0.920954	-0.004962	0.009556	-0.219265	
ACAD9	ENSG00000177646	0.020323	0.948650	0.388320	0	0.000000	-0.008483	0.009549	-0.426695	0.010860	0.009497	0.597160	0.005762	0.009555	0.262396	25.690132
ACADL	ENSG00000115361	0.491736	1.307500	0.772650	0	0.032764										
ACADM	ENSG00000117054	0.007889	1.055600	0.207850	0	0.000000	0.004285	0.009549	0.184664	0.002964	0.009496	0.122098	0.001083	0.009555	0.041083	
ACADS	ENSG00000122971	0.392986	0.821050	0.886780	0	0.084909	-0.004328	0.009550	-0.186788	-0.013867	0.009495	-0.840989	-0.002906	0.009555	-0.118610	8.946285
ACADSB	ENSG00000196177	0.012706	0.962790	-0.370090	0	0.000000	-0.000229	0.009549	-0.008392	-0.004256	0.009497	-0.184357	0.009459	0.009555	0.491870	
ACADVL	ENSG00000072778	0.028667	1.103300	-0.278280	0	0.000000	0.012583	0.009548	0.726811	0.013722	0.009496	0.828319	0.017528	0.009557	1.176160	
ACAN	ENSG00000157766	0.526366	0.354490	0.356600	0	0.462565										
ACAP1	ENSG00000072818	0.858489	0.584140	3.235300	0	0.678176	0.003244	0.009549	0.134283	0.018224	0.009495	1.259898	-0.004528	0.009555	-0.196836	
ACAP2	ENSG00000114331	0.811621	0.439960	3.719400	0	0.496597	0.003534	0.009550	0.147916	0.019747	0.009494	1.425208	-0.000359	0.009555	-0.013200	
ACAP3	ENSG00000131584	0.310427	0.672050	-0.412140	0	0.034904	0.021970	0.009548	1.669409	0.011888	0.009496	0.676501	0.007046	0.009555	0.336379	
ACAT1	ENSG00000075239	0.069416	0.811390	1.030700	0	0.000000	0.008874	0.009551	0.452419	-0.005407	0.009497	-0.244806	-0.012654	0.009555	-0.731820	
ACAT2	ENSG00000120437	0.416292	0.971250	0.404340	0	0.037415	0.002416	0.009553	0.096700	-0.007064	0.009497	-0.340053	-0.007103	0.009556	-0.339822	
ACBD3	ENSG00000182827	0.025898	0.608200	1.993600	0	0.000000	-0.006506	0.009549	-0.304789	0.003010	0.009496	0.124189	-0.012484	0.009555	-0.718069	
ACBD4	ENSG00000181513	0.346791	1.155400	0.138440	0	0.062527	0.021900	0.009547	1.661191	0.010337	0.009496	0.558490	0.013207	0.009554	0.777506	
ACBD5	ENSG00000107897	0.020075	0.724890	1.435700	0	0.000000	-0.001074	0.009555	-0.040726	0.006346	0.009496	0.297579	-0.001537	0.009555	-0.059370	
ACBD6	ENSG00000230124	0.018211	1.031000	-0.061460	0	0.000000	0.013492	0.009549	0.802211	0.001962	0.009503	0.077561	-0.007334	0.009556	-0.353746	
ACBD7	ENSG00000176244	0.244991	1.326300	-0.334540	0	0.032028	0.001533	0.009550	0.059231	-0.021055	0.009495	-1.574946	-0.001304	0.009556	-0.049903	
ACCS	ENSG00000110455	0.029740	0.908550	0.482640	0	0.000000	0.019919	0.009547	1.432269	-0.000257	0.009497	-0.009464	0.009716	0.009556	0.509581	
ACCSL	ENSG00000205126	0.012933	1.116500	1.066100	0	0.000000										
ACD	ENSG00000102977	0.845996	0.945690	1.088700	1	0.000000	-0.000543	0.009549	-0.020168	0.006846	0.009497	0.326990	-0.021520	0.009555	-1.613893	
ACE	ENSG00000159640	0.043084	0.873640	-0.654130	0	0.000000	-0.008281	0.009549	-0.413620	0.024932	0.009493	2.063245	0.002320	0.009562	0.092431	
ACER1	ENSG00000167769	0.010737	1.544200	-0.061168	0	0.000000										
ACER2	ENSG00000177076	0.664673	1.038600	-0.258040	0	0.598944										
ACER3	ENSG00000078124	0.011693	0.496910	2.338500	0	0.000000	-0.008814	0.009549	-0.448562	-0.012775	0.009499	-0.747845	0.003694	0.009555	0.155493	
ACHE	ENSG00000087085	0.041551	0.517680	3.576600	0	0.000000										
ACIN1	ENSG00000100813	0.023537	0.165780	2.682700	0	0.000000	-0.008930	0.009549	-0.456286	0.006631	0.009498	0.314187	0.000372	0.009556	0.013682	
ACKR1	ENSG00000213088	0.646568	3.060500	-0.918160	0	0.745107										
ACKR2	ENSG00000144648	0.012106		0.396910	0	0.000000										
ACKR3	ENSG00000144476	0.491745	0.528420	1.549400	0	0.167440	0.012584	0.009551	0.726561	0.005402	0.009497	0.244528	0.006856	0.009555	0.325053	
ACKR4	ENSG00000129048	0.060099	0.738470	5.295600	0	0.000000										
ACLY	ENSG00000131473	0.031141	0.400070	4.561900	0	0.000000	0.008306	0.009552	0.415019	0.003245	0.009499	0.135082	-0.001094	0.009556	-0.041495	2.632298
ACMSD	ENSG00000153086	0.522849	1.059700	-0.273000	0	0.045735										
ACO1	ENSG00000122729	0.028841	0.896340	1.869200	0	0.000000	-0.006165	0.009549	-0.285235	-0.001318	0.009496	-0.050777	-0.009812	0.009555	-0.516380	
ACO2	ENSG00000100412	0.784425	0.495320	4.576500	0	0.217909	-0.014764	0.009549	-0.913247	0.000956	0.009499	0.036302	-0.015552	0.009554	-0.984644	35.791447
ACOD1	ENSG00000102794	0.623575	1.543000	0.991510	0	0.124660										
ACOT1	ENSG00000184227	0.043524	0.921150	7.132600	0	0.000000										
ACOT11	ENSG00000162390	0.763898	1.088000	0.713740	0	0.355718										
ACOT12	ENSG00000172497	0.017866	0.951220	-0.414300	0	0.000000										
ACOT13	ENSG00000112304	0.045146	1.443600	0.068405	0	0.000000	0.005700	0.009549	0.259160	-0.006070	0.009497	-0.281715	-0.021255	0.009556	-1.582471	
ACOT2	ENSG00000119673	0.025477	1.151700	2.343700	0	0.000000										
ACOT4	ENSG00000177465	0.011558	1.560100	-0.302980	0	0.000000	-0.007412	0.009549	-0.358878	0.006022	0.009496	0.279014	-0.002729	0.009556	-0.110609	
ACOT6	ENSG00000205669	0.012893	1.777600	0.523410	0	0.000000										
ACOT7	ENSG00000097021	0.047790	0.483060	2.513100	0	0.000000	-0.000587	0.009552	-0.021818	-0.013071	0.009496	-0.772856	-0.019829	0.009556	-1.420274	-13.245586
ACOT8	ENSG00000101473	0.014994	1.088400	1.012700	0	0.000000	-0.005883	0.009549	-0.269357	0.004408	0.009496	0.192126	-0.006041	0.009555	-0.277970	
ACOX1	ENSG00000161533	0.038439	0.704320	3.058600	0	0.000000	0.015372	0.009548	0.968801	0.007962	0.009496	0.396018	0.022962	0.009553	1.789024	
ACOX2	ENSG00000168306	0.610290	0.945780	0.624140	0	0.127581										
ACOX3	ENSG00000087008	0.512477	1.088700	-0.265330	0	0.154461	-0.008547	0.009549	-0.430892	-0.003892	0.009497	-0.166270	-0.002941	0.009556	-0.120177	
ACOXL	ENSG00000153093	0.658525	1.187800	0.524040	0	0.844390										
ACP1	ENSG00000143727	0.707087	1.394300	0.536020	0	0.368328	0.002662	0.009549	0.107674	-0.002433	0.009496	-0.098091	-0.011601	0.009555	-0.648416	
ACP2	ENSG00000134575	0.474268	0.848000	1.309700	0	0.076771	-0.000365	0.009554	-0.013453	0.009917	0.009498	0.528067	0.007728	0.009555	0.378168	
ACP3	ENSG00000014257	0.522808	1.091500	-0.054559	0	0.463045										
ACP4	ENSG00000142513	0.014572	1.315700	-0.260860	0	0.000000										
ACP5	ENSG00000102575	0.780315	1.177800	1.415200	1	0.000000	-0.000767	0.009552	-0.028708	0.004065	0.009496	0.174838	0.019082	0.009554	1.339078	
ACP6	ENSG00000162836	0.021322	1.268300	0.818010	0	0.000000	-0.000724	0.009551	-0.027063	0.004170	0.009496	0.180093	0.008809	0.009555	0.447851	
ACP7	ENSG00000183760	0.014161	1.190500	0.388680	0	0.000000										
ACR	ENSG00000100312	0.020663	0.980220	1.577400	0	0.000000										
ACRBP	ENSG00000111644	0.018588	0.949870	1.134400	0	0.000000										
ACRV1	ENSG00000134940	0.022481	0.871820	0.527950	0	0.000000										
ACSBG1	ENSG00000103740	0.025456	0.635100	1.899300	0	0.000000										
ACSBG2	ENSG00000130377	0.011460	1.026000	1.306700	0	0.000000										
ACSF2	ENSG00000167107	0.043873	0.826680	2.141600	0	0.000000	0.003958	0.009549	0.168419	0.011775	0.009497	0.667458	0.005584	0.009556	0.252591	
ACSF3	ENSG00000176715	0.014227	1.769400	-2.548300	0	0.000000	-0.008467	0.009549	-0.425639	0.007663	0.009496	0.377038	-0.008463	0.009556	-0.424980	
ACSL1	ENSG00000151726	0.028288	0.540760	2.140500	0	0.000000	-0.005995	0.009549	-0.275614	-0.011247	0.009496	-0.626563	-0.018867	0.009554	-1.315983	-3.157940
ACSL3	ENSG00000123983	0.677213	0.534380	2.787300	0	0.127037	-0.004186	0.009549	-0.179694	-0.003451	0.009497	-0.144869	0.002043	0.009556	0.080543	-0.663961
ACSL5	ENSG00000197142	0.469168	0.745200	0.819910	0	0.060882	-0.003531	0.009549	-0.147790	0.001039	0.009500	0.039580	0.023514	0.009553	1.858342	
ACSL6	ENSG00000164398	0.550801	0.610410	2.150900	0	0.414721	0.011644	0.009549	0.652198	0.009909	0.009497	0.527522	0.010335	0.009555	0.553693	-10.853926
ACSM1	ENSG00000166743	0.020760	1.256900	0.701340	0	0.000000										
ACSM2A	ENSG00000183747	0.525514	1.144000	0.393310	0	0.067363										
ACSM2B	ENSG00000066813	0.574771	0.918240	0.371470	0	0.065636										
ACSM3	ENSG00000005187	0.009188	1.018500	0.598310	0	0.000000	-0.009227	0.009549	-0.476380	0.009855	0.009496	0.523723	-0.006434	0.009555	-0.300355	3.645890
ACSM4	ENSG00000215009	0.606382	1.109300	1.106800	0	0.056083										
ACSM5	ENSG00000183549	0.518021	0.977710	0.047347	0	0.061951										
ACSM6	ENSG00000173124	0.021513	0.908780	1.324700	0	0.000000										
ACSS1	ENSG00000154930	0.031949	0.721790	2.142700	0	0.000000	-0.003140	0.009549	-0.129436	-0.000528	0.009497	-0.019708	0.020391	0.009554	1.483499	32.124830
