rank	gene	pu_score	driver	top_features	gwas_present	perturbseq_measured
2	NOS2	0.982107	genetics+perturbseq-driven	IEI+1.978; gwas_score+1.337; mis.z_score+0.602	1	0
5	IL10	0.978042	genetics+perturbseq-driven	IEI+2.169; gwas_score+1.366; stim48hr_se_beta+0.338	1	1
6	CFHR3	0.976222	genetics+perturbseq-driven	IEI+2.124; gwas_score+0.855; mis.z_score+0.555	1	0
10	CDCA7	0.974897	genetics+perturbseq-driven	IEI+2.125; gwas_score+1.346; stim48hr_coef_beta+0.289	1	1
11	ERN1	0.974789	genetics+perturbseq-driven	IEI+2.062; gwas_score+1.242; mis.z_score+0.523	1	1
13	MAP3K14	0.973162	genetics+perturbseq-driven	IEI+2.023; gwas_score+0.921; mis.z_score+0.872	1	1
14	NBEAL2	0.972672	genetics+perturbseq-driven	IEI+2.142; gwas_score+0.741; mis.z_score+0.609	1	1
15	NLRP3	0.971645	genetics+perturbseq-driven	IEI+2.034; gwas_score+0.869; mis.z_score+0.720	1	0
17	SRP54	0.970708	genetics+perturbseq-driven	IEI+2.032; gwas_score+0.822; mis.z_score+0.791	1	1
18	IRF3	0.970084	genetics+perturbseq-driven	IEI+2.145; gwas_score+1.315; stim8hr_se_beta-0.180	1	1
19	ZAP70	0.970008	genetics+perturbseq-driven	IEI+2.181; gwas_score+1.320; mis.z_score+0.305	1	1
20	CD40	0.969985	genetics+perturbseq-driven	IEI+2.102; gwas_score+1.260; stim48hr_coef_beta+0.381	1	1
21	CORO1A	0.969953	genetics+perturbseq-driven	IEI+2.093; gwas_score+0.917; mis.z_score+0.516	1	1
22	ACTB	0.969043	genetics+perturbseq-driven	IEI+1.995; gwas_score+1.172; mis.z_score+0.922	1	0
23	RPSA	0.967818	genetics+perturbseq-driven	IEI+1.942; gwas_score+0.970; mis.z_score+0.786	1	0
24	ICOSLG	0.967805	genetics+perturbseq-driven	IEI+1.928; gwas_score+1.111; mis.z_score+0.711	1	0
25	IKBKE	0.967679	genetics+perturbseq-driven	IEI+2.049; gwas_score+1.337; mis.z_score+0.562	1	1
26	RASGRP1	0.967561	genetics+perturbseq-driven	IEI+2.060; gwas_score+1.321; mis.z_score+0.534	1	1
29	IKZF1	0.966245	genetics+perturbseq-driven	IEI+2.097; gwas_score+1.263; mis.z_score+0.442	1	1
30	NFKBIA	0.965943	genetics+perturbseq-driven	IEI+2.191; gwas_score+1.319; stim48hr_se_beta+0.310	1	1
31	CARD11	0.965471	genetics+perturbseq-driven	IEI+2.107; gwas_score+1.294; mis.z_score+0.582	1	1
32	RORC	0.965132	genetics+perturbseq-driven	IEI+2.070; gwas_score+1.396; mis.z_score+0.439	1	1
34	RAD50	0.964765	genetics+perturbseq-driven	IEI+2.263; gwas_score+0.744; stim48hr_se_beta+0.359	1	1
35	CXCR2	0.964419	genetics+perturbseq-driven	IEI+2.057; gwas_score+1.423; gwas_present+0.184	1	0
36	ATM	0.964415	genetics+perturbseq-driven	IEI+2.187; gwas_score+1.249; dyn_coef_48_rest+0.185	1	1
