gene	gene_id	chromosome	lof.oe_ci.upper	mis.z_score
A1BG	1	NA	1.2292e+00	-2.9516e-01
A1BG	ENSG00000121410	chr19	1.2292e+00	-2.9516e-01
A1CF	29974	NA	8.8662e-01	1.0479e+00
A1CF	ENSG00000148584	chr10	8.8662e-01	1.0479e+00
A2M	2	NA	8.0586e-01	2.9519e+00
A2M	ENSG00000175899	chr12	8.0586e-01	2.9519e+00
A2ML1	144568	NA	1.0088e+00	9.9517e-01
A2ML1	ENSG00000166535	chr12	1.0088e+00	9.9517e-01
A3GALT2	127550	NA	1.3185e+00	-2.1000e+00
A3GALT2	ENSG00000184389	chr1	1.3185e+00	-2.1000e+00
A4GALT	53947	NA	NA	-5.0238e-01
A4GALT	ENSG00000128274	chr22	NA	-5.0238e-01
A4GNT	51146	NA	1.4218e+00	8.3536e-01
A4GNT	ENSG00000118017	chr3	1.4218e+00	8.3536e-01
AAAS	8086	NA	9.8362e-01	4.7080e-01
AAAS	ENSG00000094914	chr12	9.8362e-01	4.7080e-01
AACS	65985	NA	1.0149e+00	2.3219e-01
AACS	ENSG00000081760	chr12	1.0149e+00	2.3219e-01
AADAC	13	NA	1.1209e+00	1.7418e-01
AADAC	ENSG00000114771	chr3	1.1209e+00	1.7418e-01
AADACL2	344752	NA	1.4603e+00	2.1126e-01
AADACL2	ENSG00000197953	chr3	1.4603e+00	2.1126e-01
AADACL3	126767	NA	1.5179e+00	-3.7708e-01
AADACL3	ENSG00000188984	chr1	1.5179e+00	-3.7708e-01
AADACL4	343066	NA	1.1158e+00	-2.8041e-01
AADACL4	ENSG00000204518	chr1	1.1158e+00	-2.8041e-01
AADAT	51166	NA	6.2081e-01	2.3316e+00
AADAT	ENSG00000109576	chr4	6.2081e-01	2.3316e+00
AAGAB	79719	NA	1.1303e+00	-1.6811e+00
AAGAB	ENSG00000103591	chr15	1.1303e+00	-1.6811e+00
AAK1	22848	NA	4.1948e-01	3.1365e+00
AAK1	ENSG00000115977	chr2	4.1948e-01	3.1365e+00
AAMDC	ENSG00000087884	chr11	1.5688e+00	1.3714e-01
AAMP	14	NA	3.8061e-01	2.5151e+00
AAMP	ENSG00000127837	chr2	3.8061e-01	2.5151e+00
AANAT	15	NA	1.1683e+00	2.5507e-01
AANAT	ENSG00000129673	chr17	1.1683e+00	2.5507e-01
AAR2	25980	NA	1.5529e+00	1.1791e+00
AAR2	ENSG00000131043	chr20	1.5529e+00	1.1791e+00
AARD	441376	NA	1.6874e+00	-7.5710e-01
AARD	ENSG00000205002	chr8	1.6874e+00	-7.5710e-01
AARS1	16	NA	8.0440e-01	4.8778e-01
AARS1	ENSG00000090861	chr16	8.0440e-01	4.8778e-01
AARS2	57505	NA	7.8689e-01	1.5945e+00
AARS2	ENSG00000124608	chr6	7.8689e-01	1.5945e+00
AARSD1	80755	NA	1.1614e+00	2.2541e-01
AARSD1	ENSG00000266967	chr17	1.1614e+00	2.2541e-01
AASDH	132949	NA	9.5200e-01	7.5737e-01
AASDH	ENSG00000157426	chr4	9.5200e-01	7.5737e-01
AASDHPPT	60496	NA	8.9466e-01	2.6383e-02
AASDHPPT	ENSG00000149313	chr11	8.9466e-01	2.6383e-02
AASS	10157	NA	9.7647e-01	1.2014e+00
AASS	ENSG00000008311	chr7	9.7647e-01	1.2014e+00
AATF	26574	NA	9.5830e-01	7.6099e-01
AATF	ENSG00000275700	chr17	9.5830e-01	7.6099e-01
AATK	9625	NA	9.4770e-01	-2.0284e+00
AATK	ENSG00000181409	chr17	9.4770e-01	-2.0284e+00
ABAT	18	NA	8.9253e-01	4.2226e-01
ABAT	ENSG00000183044	chr16	8.9253e-01	4.2226e-01
ABCA1	19	NA	5.8506e-01	2.6343e+00
ABCA1	ENSG00000165029	chr9	5.8506e-01	2.6343e+00
ABCA10	10349	NA	1.0238e+00	8.5577e-01
ABCA10	ENSG00000154263	chr17	1.0238e+00	8.5577e-01
ABCA12	26154	NA	6.0699e-01	2.2496e+00
ABCA12	ENSG00000144452	chr2	6.0699e-01	2.2496e+00
ABCA13	154664	NA	1.0726e+00	-8.2882e-01
ABCA13	ENSG00000179869	chr7	1.0726e+00	-8.2882e-01
ABCA2	20	NA	3.8317e-01	5.4365e+00
ABCA2	ENSG00000107331	chr9	3.8317e-01	5.4365e+00
ABCA3	21	NA	6.0789e-01	1.2180e+00
ABCA3	ENSG00000167972	chr16	6.0789e-01	1.2180e+00
ABCA4	24	NA	8.3664e-01	5.0352e-01
ABCA4	ENSG00000198691	chr1	8.3664e-01	5.0352e-01
ABCA5	23461	NA	9.0093e-01	5.2590e-01
ABCA5	ENSG00000154265	chr17	9.0093e-01	5.2590e-01
ABCA6	23460	NA	9.7655e-01	-6.2655e-01
ABCA6	ENSG00000154262	chr17	9.7655e-01	-6.2655e-01
ABCA7	10347	NA	1.2705e+00	-3.2055e+00
ABCA7	ENSG00000064687	chr19	1.2705e+00	-3.2055e+00
ABCA8	10351	NA	1.0428e+00	-9.9613e-02
ABCA8	ENSG00000141338	chr17	1.0428e+00	-9.9613e-02
ABCA9	10350	NA	1.0074e+00	1.0479e+00
ABCA9	ENSG00000154258	chr17	1.0074e+00	1.0479e+00
ABCB1	5243	NA	5.9354e-01	2.4734e+00
ABCB1	ENSG00000085563	chr7	5.9354e-01	2.4734e+00
ABCB10	23456	NA	1.0358e+00	1.7827e+00
ABCB10	ENSG00000135776	chr1	1.0358e+00	1.7827e+00
